source_id,source,title,license,trust_tier,url,date_acquired,raw_path,clean_path,rag_chunks_path,topics,source_type,ocr_quality,status,license_evidence_url,license_evidence,notes,chunk_count
us_army_atp_3_50_21,US Army,ATP 3-50.21 Survival,public-domain-usgov,high,https://armypubs.army.mil/epubs/DR_pubs/DR_a/pdf/web/ARN12086_ATP%203-50x21%20FINAL%20WEB%202.pdf,2026-05-25,text/raw/us_army_atp_3_50_21.pdf,text/clean/us_army_atp_3_50_21.txt,text/rag_chunks/us_army_atp_3_50_21.jsonl,shelter;water;fire;navigation;first_aid;foraging,pdf,clean,acquired,https://armypubs.army.mil/epubs/DR_pubs/DR_a/pdf/web/ARN12086_ATP%203-50x21%20FINAL%20WEB%202.pdf,Headquarters Department of the Army publication; approved for public release; U.S. government work,Core modern survival manual; excludes any weapons-focused manuals,309
us_army_fm_21_76,US Army,FM 21-76 US Army Survival Manual,public-domain-usgov,high,https://archive.org/download/Fm21-76SurvivalManual/FM21-76_SurvivalManual.pdf,2026-05-25,text/raw/us_army_fm_21_76.pdf,text/clean/us_army_fm_21_76.txt,text/rag_chunks/us_army_fm_21_76.jsonl,shelter;water;fire;navigation;first_aid;foraging,pdf,clean,acquired,https://archive.org/details/Fm21-76SurvivalManual,Headquarters Department of the Army field manual; U.S. government work,Older broad survival manual with edible and poisonous plant coverage,291
usda_complete_guide_home_canning,USDA Extension Service,Complete Guide to Home Canning,public-domain-usgov,high,https://archive.org/download/CAT30998639/CAT30998639_djvu.txt,2026-05-25,text/raw/usda_complete_guide_home_canning_ocr.txt,text/clean/usda_complete_guide_home_canning.txt,text/rag_chunks/usda_complete_guide_home_canning.jsonl,food_preservation,text,clean,acquired,https://commons.wikimedia.org/wiki/File:Complete_guide_to_home_canning_(IA_CAT30998639).pdf,Wikimedia Commons marks this USDA Extension Service work public domain under 17 USC 105; Internet Archive OCR text used for cleaner spacing than PDF embedded text,Food preservation authority source,20
fema_are_you_ready,FEMA,Are You Ready? An In-depth Guide to Citizen Preparedness,public-domain-usgov,high,https://www.ready.gov/sites/default/files/2021-11/are-you-ready-guide.pdf,2026-05-25,text/raw/fema_are_you_ready.pdf,text/clean/fema_are_you_ready.txt,text/rag_chunks/fema_are_you_ready.jsonl,shelter;water;first_aid;emergency_preparedness,pdf,clean,acquired,https://www.ready.gov/collection/are-you-ready,Ready.gov/FEMA publication; U.S. government work,Modern preparedness and self-sufficiency guide,38
usda_nrcs_community_garden_guide,USDA NRCS,Community Garden Guide,public-domain-usgov,high,https://www.nrcs.usda.gov/plantmaterials/mipmctn11120.pdf,2026-05-25,text/raw/usda_nrcs_community_garden_guide.pdf,text/clean/usda_nrcs_community_garden_guide.txt,text/rag_chunks/usda_nrcs_community_garden_guide.jsonl,gardening;farming,pdf,clean,acquired,https://www.nrcs.usda.gov/plantmaterials/mipmctn11120.pdf,USDA Natural Resources Conservation Service publication; U.S. government work,Modern community-scale gardening source,5
usda_nrcs_range_pasture_handbook,USDA NRCS,National Range and Pasture Handbook,public-domain-usgov,high,https://directives.nrcs.usda.gov/sites/default/files2/1712930386/33922.pdf,2026-05-25,text/raw/usda_nrcs_range_pasture_handbook.pdf,text/clean/usda_nrcs_range_pasture_handbook.txt,text/rag_chunks/usda_nrcs_range_pasture_handbook.jsonl,farming;animal_husbandry,pdf,clean,acquired,https://directives.nrcs.usda.gov/sites/default/files2/1712930386/33922.pdf,USDA Natural Resources Conservation Service handbook; U.S. government work,Modern pasture and livestock-support reference,83
usda_subsistence_farm_gardens,USDA,Subsistence Farm Gardens,public-domain-usgov,low,https://archive.org/download/CAT87204756/farmbul1746rev1938.pdf,2026-05-25,text/raw/usda_subsistence_farm_gardens.pdf,text/clean/usda_subsistence_farm_gardens.txt,text/rag_chunks/usda_subsistence_farm_gardens.jsonl,gardening;farming,pdf,clean,acquired,https://commons.wikimedia.org/wiki/File:Subsistence_farm_gardens_(IA_CAT87204756).pdf,Wikimedia Commons marks this USDA Farmers' Bulletin public domain under 17 USC 105,Historical USDA gardening bulletin; low trust because advice is older,104
usda_poultry_keeping_back_yards,USDA,Poultry Keeping in Back Yards,public-domain-usgov,low,https://archive.org/download/CAT87207022/farmbul1508rev1941.pdf,2026-05-25,text/raw/usda_poultry_keeping_back_yards.pdf,text/clean/usda_poultry_keeping_back_yards.txt,text/rag_chunks/usda_poultry_keeping_back_yards.jsonl,animal_husbandry,pdf,clean,acquired,https://commons.wikimedia.org/wiki/File:Poultry_keeping_in_back_yards_(IA_CAT87207022).pdf,Wikimedia Commons marks this USDA Farmers' Bulletin free of known copyright restrictions/public domain,Historical poultry bulletin; low trust because advice is older,24
gutenberg_first_book_farming,Project Gutenberg,The First Book of Farming,public-domain,low,https://www.gutenberg.org/ebooks/16900.txt.utf-8,2026-05-25,text/raw/gutenberg_first_book_farming.txt,text/clean/gutenberg_first_book_farming.txt,text/rag_chunks/gutenberg_first_book_farming.jsonl,gardening;farming,text,clean,acquired,https://www.gutenberg.org/ebooks/16900,Project Gutenberg page states public domain in the USA,Historical farming/gardening source,137
gutenberg_manual_gardening,Project Gutenberg,Manual of Gardening,public-domain,low,https://www.gutenberg.org/ebooks/9550.txt.utf-8,2026-05-25,text/raw/gutenberg_manual_gardening.txt,text/clean/gutenberg_manual_gardening.txt,text/rag_chunks/gutenberg_manual_gardening.jsonl,gardening,text,clean,acquired,https://www.gutenberg.org/ebooks/9550,Project Gutenberg page states public domain in the USA,Historical gardening source,362
