source_id,source,title,license,trust_tier,url,raw_filename,clean_filename,topics,source_type,license_evidence_url,license_evidence,notes,date_acquired
us_army_atp_3_50_21,US Army,ATP 3-50.21 Survival,public-domain-usgov,high,https://armypubs.army.mil/epubs/DR_pubs/DR_a/pdf/web/ARN12086_ATP%203-50x21%20FINAL%20WEB%202.pdf,us_army_atp_3_50_21.pdf,us_army_atp_3_50_21.txt,"shelter;water;fire;navigation;first_aid;foraging",pdf,https://armypubs.army.mil/epubs/DR_pubs/DR_a/pdf/web/ARN12086_ATP%203-50x21%20FINAL%20WEB%202.pdf,"Headquarters Department of the Army publication; approved for public release; U.S. government work",Core modern survival manual; excludes any weapons-focused manuals,2026-05-25
us_army_fm_21_76,US Army,FM 21-76 US Army Survival Manual,public-domain-usgov,high,https://archive.org/download/Fm21-76SurvivalManual/FM21-76_SurvivalManual.pdf,us_army_fm_21_76.pdf,us_army_fm_21_76.txt,"shelter;water;fire;navigation;first_aid;foraging",pdf,https://archive.org/details/Fm21-76SurvivalManual,"Headquarters Department of the Army field manual; U.S. government work",Older broad survival manual with edible and poisonous plant coverage,2026-05-25
usda_complete_guide_home_canning,USDA Extension Service,Complete Guide to Home Canning,public-domain-usgov,high,https://archive.org/download/CAT30998639/CAT30998639_djvu.txt,usda_complete_guide_home_canning_ocr.txt,usda_complete_guide_home_canning.txt,food_preservation,text,https://commons.wikimedia.org/wiki/File:Complete_guide_to_home_canning_(IA_CAT30998639).pdf,"Wikimedia Commons marks this USDA Extension Service work public domain under 17 USC 105; Internet Archive OCR text used for cleaner spacing than PDF embedded text",Food preservation authority source,2026-05-25
fema_are_you_ready,FEMA,Are You Ready? An In-depth Guide to Citizen Preparedness,public-domain-usgov,high,https://www.ready.gov/sites/default/files/2021-11/are-you-ready-guide.pdf,fema_are_you_ready.pdf,fema_are_you_ready.txt,"shelter;water;first_aid;emergency_preparedness",pdf,https://www.ready.gov/collection/are-you-ready,"Ready.gov/FEMA publication; U.S. government work",Modern preparedness and self-sufficiency guide,2026-05-25
usda_nrcs_community_garden_guide,USDA NRCS,Community Garden Guide,public-domain-usgov,high,https://www.nrcs.usda.gov/plantmaterials/mipmctn11120.pdf,usda_nrcs_community_garden_guide.pdf,usda_nrcs_community_garden_guide.txt,"gardening;farming",pdf,https://www.nrcs.usda.gov/plantmaterials/mipmctn11120.pdf,"USDA Natural Resources Conservation Service publication; U.S. government work",Modern community-scale gardening source,2026-05-25
usda_nrcs_range_pasture_handbook,USDA NRCS,National Range and Pasture Handbook,public-domain-usgov,high,https://directives.nrcs.usda.gov/sites/default/files2/1712930386/33922.pdf,usda_nrcs_range_pasture_handbook.pdf,usda_nrcs_range_pasture_handbook.txt,"farming;animal_husbandry",pdf,https://directives.nrcs.usda.gov/sites/default/files2/1712930386/33922.pdf,"USDA Natural Resources Conservation Service handbook; U.S. government work",Modern pasture and livestock-support reference,2026-05-25
usda_subsistence_farm_gardens,USDA,Subsistence Farm Gardens,public-domain-usgov,low,https://archive.org/download/CAT87204756/farmbul1746rev1938.pdf,usda_subsistence_farm_gardens.pdf,usda_subsistence_farm_gardens.txt,"gardening;farming",pdf,https://commons.wikimedia.org/wiki/File:Subsistence_farm_gardens_(IA_CAT87204756).pdf,"Wikimedia Commons marks this USDA Farmers' Bulletin public domain under 17 USC 105",Historical USDA gardening bulletin; low trust because advice is older,2026-05-25
usda_poultry_keeping_back_yards,USDA,Poultry Keeping in Back Yards,public-domain-usgov,low,https://archive.org/download/CAT87207022/farmbul1508rev1941.pdf,usda_poultry_keeping_back_yards.pdf,usda_poultry_keeping_back_yards.txt,animal_husbandry,pdf,https://commons.wikimedia.org/wiki/File:Poultry_keeping_in_back_yards_(IA_CAT87207022).pdf,"Wikimedia Commons marks this USDA Farmers' Bulletin free of known copyright restrictions/public domain",Historical poultry bulletin; low trust because advice is older,2026-05-25
gutenberg_first_book_farming,Project Gutenberg,The First Book of Farming,public-domain,low,https://www.gutenberg.org/ebooks/16900.txt.utf-8,gutenberg_first_book_farming.txt,gutenberg_first_book_farming.txt,"gardening;farming",text,https://www.gutenberg.org/ebooks/16900,"Project Gutenberg page states public domain in the USA",Historical farming/gardening source,2026-05-25
gutenberg_manual_gardening,Project Gutenberg,Manual of Gardening,public-domain,low,https://www.gutenberg.org/ebooks/9550.txt.utf-8,gutenberg_manual_gardening.txt,gutenberg_manual_gardening.txt,gardening,text,https://www.gutenberg.org/ebooks/9550,"Project Gutenberg page states public domain in the USA",Historical gardening source,2026-05-25
