scientific_name,taxon_id,dataset,image_count,role
Abeliophyllum distichum,,plantnet300k-v2,6,pretraining_only
Acacia auriculiformis,,plantnet300k-v2,34,pretraining_only
Acacia baileyana,,plantnet300k-v2,71,pretraining_only
Acacia cognata,,plantnet300k-v2,5,pretraining_only
Acacia confluens,,plantnet300k-v2,9,pretraining_only
Acacia confusa,,plantnet300k-v2,6,pretraining_only
Acacia dealbata,,plantnet300k-v2,1285,pretraining_only
Acacia heterophylla,,plantnet300k-v2,50,pretraining_only
Acacia koa,,plantnet300k-v2,8,pretraining_only
Acacia longifolia,,plantnet300k-v2,130,pretraining_only
Acacia mangium,,plantnet300k-v2,27,pretraining_only
Acacia mearnsii,,plantnet300k-v2,130,pretraining_only
Acacia melanoxylon,,plantnet300k-v2,104,pretraining_only
Acacia podalyriifolia,,plantnet300k-v2,17,pretraining_only
Acacia pravissima,,plantnet300k-v2,4,pretraining_only
Acacia pycnantha,,plantnet300k-v2,57,pretraining_only
Acacia redolens,,plantnet300k-v2,6,pretraining_only
Acacia retinodes,,plantnet300k-v2,325,pretraining_only
Acacia saligna,,plantnet300k-v2,105,pretraining_only
Acacia simplex,,plantnet300k-v2,4,pretraining_only
Acacia spirorbis,,plantnet300k-v2,10,pretraining_only
Acaciella angustissima,,plantnet300k-v2,10,pretraining_only
Acalypha alopecuroidea,,plantnet300k-v2,15,pretraining_only
Acalypha crenata,,plantnet300k-v2,12,pretraining_only
Acalypha hispida,,plantnet300k-v2,191,pretraining_only
Acalypha indica,,plantnet300k-v2,108,pretraining_only
Acalypha integrifolia,,plantnet300k-v2,9,pretraining_only
Acalypha macrostachya,,plantnet300k-v2,16,pretraining_only
Acalypha virginica,,plantnet300k-v2,145,pretraining_only
Acalypha wilkesiana,,plantnet300k-v2,299,pretraining_only
Achyranthes aspera,,plantnet300k-v2,103,pretraining_only
Aciotis rubricaulis,,plantnet300k-v2,5,pretraining_only
Adenostyles alliariae,,plantnet300k-v2,331,pretraining_only
Adenostyles alpina,,plantnet300k-v2,500,pretraining_only
Adenostyles leucophylla,,plantnet300k-v2,92,pretraining_only
Adlumia fungosa,,plantnet300k-v2,4,pretraining_only
Adonis aestivalis,,plantnet300k-v2,114,pretraining_only
Adonis annua,,plantnet300k-v2,143,pretraining_only
Adonis flammea,,plantnet300k-v2,29,pretraining_only
Adonis microcarpa,,plantnet300k-v2,9,pretraining_only
Adonis pyrenaica,,plantnet300k-v2,11,pretraining_only
Adonis vernalis,,plantnet300k-v2,164,pretraining_only
Aegopodium podagraria,,plantnet300k-v2,2983,pretraining_only
Aeschynomene americana,,plantnet300k-v2,14,pretraining_only
Aextoxicon punctatum,,plantnet300k-v2,7,pretraining_only
Aizoanthemopsis hispanica,,plantnet300k-v2,6,pretraining_only
Aizoon canariense,,plantnet300k-v2,14,pretraining_only
Alcea biennis,,plantnet300k-v2,83,pretraining_only
Alcea rosea,,plantnet300k-v2,5357,pretraining_only
Alcea setosa,,plantnet300k-v2,24,pretraining_only
Alibertia edulis,,plantnet300k-v2,5,pretraining_only
Alliaria petiolata,,plantnet300k-v2,8570,pretraining_only
Alocasia baginda,,plantnet300k-v2,4,pretraining_only
Alocasia cucullata,,plantnet300k-v2,137,pretraining_only
Alocasia cuprea,,plantnet300k-v2,9,pretraining_only
Alocasia lauterbachiana,,plantnet300k-v2,18,pretraining_only
Alocasia longiloba,,plantnet300k-v2,76,pretraining_only
Alocasia macrorrhizos,,plantnet300k-v2,374,pretraining_only
Alocasia micholitziana,,plantnet300k-v2,59,pretraining_only
Alocasia odora,,plantnet300k-v2,59,pretraining_only
Alocasia reginula,,plantnet300k-v2,32,pretraining_only
Alocasia sanderiana,,plantnet300k-v2,447,pretraining_only
Alocasia wentii,,plantnet300k-v2,10,pretraining_only
Alocasia zebrina,,plantnet300k-v2,63,pretraining_only
Althaea cannabina,,plantnet300k-v2,294,pretraining_only
Althaea officinalis,,plantnet300k-v2,932,pretraining_only
Anemonastrum canadense,,plantnet300k-v2,175,pretraining_only
Anemonastrum narcissiflorum,,plantnet300k-v2,254,pretraining_only
Anemone coronaria,,plantnet300k-v2,846,pretraining_only
Anemone hortensis,,plantnet300k-v2,439,pretraining_only
Anemone multifida,,plantnet300k-v2,7,pretraining_only
Anemone palmata,,plantnet300k-v2,21,pretraining_only
Anemone pavoniana,,plantnet300k-v2,4,pretraining_only
Anemone virginiana,,plantnet300k-v2,70,pretraining_only
Anemonoides apennina,,plantnet300k-v2,155,pretraining_only
Anemonoides baldensis,,plantnet300k-v2,45,pretraining_only
Anemonoides blanda,,plantnet300k-v2,569,pretraining_only
Anemonoides nemorosa,,plantnet300k-v2,4234,pretraining_only
Anemonoides ranunculoides,,plantnet300k-v2,599,pretraining_only
Anemonoides sylvestris,,plantnet300k-v2,591,pretraining_only
Anemonoides trifolia,,plantnet300k-v2,44,pretraining_only
Angelica archangelica,,plantnet300k-v2,298,pretraining_only
Angelica atropurpurea,,plantnet300k-v2,67,pretraining_only
Angelica heterocarpa,,plantnet300k-v2,4,pretraining_only
Angelica lucida,,plantnet300k-v2,5,pretraining_only
Angelica razulii,,plantnet300k-v2,18,pretraining_only
Angelica sylvestris,,plantnet300k-v2,2196,pretraining_only
Angostura granulosa,,plantnet300k-v2,6,pretraining_only
Ansellia africana,,plantnet300k-v2,9,pretraining_only
Anthericum liliago,,plantnet300k-v2,924,pretraining_only
Anthericum ramosum,,plantnet300k-v2,191,pretraining_only
Anthurium andraeanum,,plantnet300k-v2,2802,pretraining_only
Anthurium clarinervium,,plantnet300k-v2,79,pretraining_only
Anthurium crystallinum,,plantnet300k-v2,5,pretraining_only
Anthurium faustomirandae,,plantnet300k-v2,7,pretraining_only
Anthurium hookeri,,plantnet300k-v2,44,pretraining_only
Anthurium jenmanii,,plantnet300k-v2,10,pretraining_only
Anthurium salvinii,,plantnet300k-v2,11,pretraining_only
Anthurium scandens,,plantnet300k-v2,4,pretraining_only
Anthurium scherzerianum,,plantnet300k-v2,28,pretraining_only
Anthurium schlechtendalii,,plantnet300k-v2,8,pretraining_only
Anthurium veitchii,,plantnet300k-v2,10,pretraining_only
Anthurium warocqueanum,,plantnet300k-v2,7,pretraining_only
Antirhea borbonica,,plantnet300k-v2,19,pretraining_only
Aphelandra aurantiaca,,plantnet300k-v2,4,pretraining_only
Aphelandra scabra,,plantnet300k-v2,7,pretraining_only
Aphelandra sinclairiana,,plantnet300k-v2,6,pretraining_only
Aphelandra squarrosa,,plantnet300k-v2,285,pretraining_only
Aralia californica,,plantnet300k-v2,8,pretraining_only
Aralia elata,,plantnet300k-v2,105,pretraining_only
Aralia hispida,,plantnet300k-v2,9,pretraining_only
Aralia nudicaulis,,plantnet300k-v2,173,pretraining_only
Aralia racemosa,,plantnet300k-v2,46,pretraining_only
Aralia spinosa,,plantnet300k-v2,58,pretraining_only
Aristea abyssinica,,plantnet300k-v2,6,pretraining_only
Aristea ecklonii,,plantnet300k-v2,5,pretraining_only
Arthraxon hispidus,,plantnet300k-v2,5,pretraining_only
Aspilia mossambicensis,,plantnet300k-v2,27,pretraining_only
Aspilia pluriseta,,plantnet300k-v2,6,pretraining_only
Astydamia latifolia,,plantnet300k-v2,11,pretraining_only
Asystasia charmian,,plantnet300k-v2,8,pretraining_only
Asystasia gangetica,,plantnet300k-v2,244,pretraining_only
Asystasia mysorensis,,plantnet300k-v2,12,pretraining_only
Asystasia riparia,,plantnet300k-v2,5,pretraining_only
Athyrium niponicum,,plantnet300k-v2,16,pretraining_only
Atocion rupestre,,plantnet300k-v2,156,pretraining_only
Atractocarpus platixylon,,plantnet300k-v2,4,pretraining_only
Barbarea intermedia,,plantnet300k-v2,34,pretraining_only
Barbarea orthoceras,,plantnet300k-v2,67,pretraining_only
Barbarea rupicola,,plantnet300k-v2,7,pretraining_only
Barbarea verna,,plantnet300k-v2,321,pretraining_only
Barbarea vulgaris,,plantnet300k-v2,1355,pretraining_only
Barringtonia acutangula,,plantnet300k-v2,4,pretraining_only
Barringtonia asiatica,,plantnet300k-v2,107,pretraining_only
Bellium bellidioides,,plantnet300k-v2,10,pretraining_only
Berula erecta,,plantnet300k-v2,124,pretraining_only
Bismarckia nobilis,,plantnet300k-v2,71,pretraining_only
Bocoa prouacensis,,plantnet300k-v2,56,pretraining_only
Boscia coriacea,,plantnet300k-v2,9,pretraining_only
Boscia integrifolia,,plantnet300k-v2,8,pretraining_only
Boscia mossambicensis,,plantnet300k-v2,8,pretraining_only
Bourreria andrieuxii,,plantnet300k-v2,4,pretraining_only
Bourreria costaricensis,,plantnet300k-v2,7,pretraining_only
Bourreria succulenta,,plantnet300k-v2,4,pretraining_only
Breynia disticha,,plantnet300k-v2,159,pretraining_only
Breynia vitis-idaea,,plantnet300k-v2,6,pretraining_only
Brodiaea elegans,,plantnet300k-v2,13,pretraining_only
Browallia americana,,plantnet300k-v2,11,pretraining_only
Browallia speciosa,,plantnet300k-v2,4,pretraining_only
Butomus umbellatus,,plantnet300k-v2,380,pretraining_only
Calendula arvensis,,plantnet300k-v2,1291,pretraining_only
Calendula officinalis,,plantnet300k-v2,6046,pretraining_only
Calendula stellata,,plantnet300k-v2,99,pretraining_only
Calochortus eurycarpus,,plantnet300k-v2,4,pretraining_only
Calochortus gunnisonii,,plantnet300k-v2,7,pretraining_only
Calochortus leichtlinii,,plantnet300k-v2,6,pretraining_only
Calochortus luteus,,plantnet300k-v2,6,pretraining_only
Calochortus macrocarpus,,plantnet300k-v2,14,pretraining_only
Calochortus splendens,,plantnet300k-v2,4,pretraining_only
Calochortus tolmiei,,plantnet300k-v2,6,pretraining_only
Calodendrum capense,,plantnet300k-v2,11,pretraining_only
Calycanthus floridus,,plantnet300k-v2,360,pretraining_only
Calycanthus occidentalis,,plantnet300k-v2,6,pretraining_only
