requested_scientific_name,scientific_name,priority_group,notes,taxon_id,usda_symbol,common_names,family,genus,rank,matched_status,coverage_status
Daucus carota,Daucus carota,lookalike_review_candidate,wild-carrot confusion set; no edibility verdict assigned,usda:DACA6,DACA6,"[""Queen Anne's lace""]",Apiaceae Lindl.,Daucus L.,Species,exact_usda_name_match,
Cicuta maculata,Cicuta maculata,lookalike_review_candidate,water-hemlock confusion set; no edibility verdict assigned,usda:CIMA2,CIMA2,"[""spotted water hemlock""]",Apiaceae Lindl.,Cicuta L.,Species,exact_usda_name_match,
Cicuta douglasii,Cicuta douglasii,lookalike_review_candidate,water-hemlock confusion set; no edibility verdict assigned,usda:CIDO,CIDO,"[""western water hemlock""]",Apiaceae Lindl.,Cicuta L.,Species,exact_usda_name_match,
Conium maculatum,Conium maculatum,lookalike_review_candidate,poison-hemlock confusion set; no edibility verdict assigned,usda:COMA2,COMA2,"[""poison hemlock""]",Apiaceae Lindl.,Conium L.,Species,exact_usda_name_match,
Zigadenus venenosus,Zigadenus venenosus,lookalike_review_candidate,death-camas confusion set; no edibility verdict assigned,usda:ZIVE,ZIVE,"[""meadow deathcamas""]",Liliaceae Juss.,Zigadenus Michx.,Species,exact_usda_name_match,
Zigadenus paniculatus,Zigadenus paniculatus,lookalike_review_candidate,death-camas confusion set; no edibility verdict assigned,usda:ZIPA2,ZIPA2,"[""foothill deathcamas""]",Liliaceae Juss.,Zigadenus Michx.,Species,exact_usda_name_match,
Zigadenus glaberrimus,Zigadenus glaberrimus,lookalike_review_candidate,death-camas confusion set; no edibility verdict assigned,usda:ZIGL,ZIGL,"[""sandbog deathcamas""]",Liliaceae Juss.,Zigadenus Michx.,Species,exact_usda_name_match,
Allium tricoccum,Allium tricoccum,foraging_review_candidate,high-interest NA plant; no edibility verdict assigned,usda:ALTR3,ALTR3,"[""ramp"", ""wild leek""]",Liliaceae Juss.,Allium L.,Species,exact_usda_name_match,
Allium canadense,Allium canadense,foraging_review_candidate,high-interest NA plant; no edibility verdict assigned,usda:ALCA3,ALCA3,"[""meadow garlic""]",Liliaceae Juss.,Allium L.,Species,exact_usda_name_match,
Asimina triloba,Asimina triloba,foraging_review_candidate,high-interest NA plant; no edibility verdict assigned,usda:ASTR,ASTR,"[""pawpaw""]",Annonaceae Juss.,Asimina Adans.,Species,exact_usda_name_match,
Opuntia humifusa,Opuntia humifusa,foraging_review_candidate,high-interest NA plant; no edibility verdict assigned,usda:OPHU,OPHU,"[""devil's-tongue""]",Cactaceae Juss.,Opuntia Mill.,Species,exact_usda_name_match,
Typha latifolia,Typha latifolia,foraging_review_candidate,high-interest NA plant; no edibility verdict assigned,usda:TYLA,TYLA,"[""broadleaf cattail""]",Typhaceae Juss.,Typha L.,Species,exact_usda_name_match,
Typha angustifolia,Typha angustifolia,foraging_review_candidate,high-interest NA plant; no edibility verdict assigned,usda:TYAN,TYAN,"[""narrowleaf cattail""]",Typhaceae Juss.,Typha L.,Species,exact_usda_name_match,
Fragaria virginiana,Fragaria virginiana,foraging_review_candidate,high-interest NA plant; no edibility verdict assigned,usda:FRVI,FRVI,"[""Virginia strawberry""]",Rosaceae Juss.,Fragaria L.,Species,exact_usda_name_match,
Rubus allegheniensis,Rubus allegheniensis,foraging_review_candidate,high-interest NA plant; no edibility verdict assigned,usda:RUAL,RUAL,"[""Allegheny blackberry""]",Rosaceae Juss.,Rubus L.,Species,exact_usda_name_match,
Rubus idaeus,Rubus idaeus,foraging_review_candidate,high-interest NA plant; no edibility verdict assigned,usda:RUID,RUID,"[""American red raspberry""]",Rosaceae Juss.,Rubus L.,Species,exact_usda_name_match,
Vaccinium corymbosum,Vaccinium corymbosum,foraging_review_candidate,high-interest NA plant; no edibility verdict assigned,usda:VACO,VACO,"[""highbush blueberry""]",Ericaceae Juss.,Vaccinium L.,Species,exact_usda_name_match,
Vaccinium angustifolium,Vaccinium angustifolium,foraging_review_candidate,high-interest NA plant; no edibility verdict assigned,usda:VAAN,VAAN,"[""lowbush blueberry""]",Ericaceae Juss.,Vaccinium L.,Species,exact_usda_name_match,
Sambucus canadensis,Sambucus nigra,foraging_review_candidate,high-interest NA plant; no edibility verdict assigned,usda:SANIC4,SANIC4,"[""American black elderberry"", ""common elderberry""]",Caprifoliaceae Juss.,Sambucus L.,Subspecies,exact_usda_name_match,
Amelanchier alnifolia,Amelanchier alnifolia,foraging_review_candidate,high-interest NA plant; no edibility verdict assigned,usda:AMAL2,AMAL2,"[""Saskatoon serviceberry""]",Rosaceae Juss.,Amelanchier Medik.,Species,exact_usda_name_match,
Prunus serotina,Prunus serotina,common_tree_review_candidate,common NA tree; no edibility verdict assigned,usda:PRSE2,PRSE2,"[""black cherry""]",Rosaceae Juss.,Prunus L.,Species,exact_usda_name_match,
Quercus alba,Quercus alba,common_tree_review_candidate,common NA tree; no edibility verdict assigned,usda:QUAL,QUAL,"[""white oak""]",Fagaceae Dumort.,Quercus L.,Species,exact_usda_name_match,
Quercus rubra,Quercus rubra,common_tree_review_candidate,common NA tree; no edibility verdict assigned,usda:QURU,QURU,"[""northern red oak""]",Fagaceae Dumort.,Quercus L.,Species,exact_usda_name_match,
Acer saccharum,Acer saccharum,common_tree_review_candidate,common NA tree; no edibility verdict assigned,usda:ACSA3,ACSA3,"[""sugar maple""]",Aceraceae Juss.,Acer L.,Species,exact_usda_name_match,
Acer rubrum,Acer rubrum,common_tree_review_candidate,common NA tree; no edibility verdict assigned,usda:ACRU,ACRU,"[""red maple""]",Aceraceae Juss.,Acer L.,Species,exact_usda_name_match,
Betula papyrifera,Betula papyrifera,common_tree_review_candidate,common NA tree; no edibility verdict assigned,usda:BEPA,BEPA,"[""paper birch""]",Betulaceae Gray,Betula L.,Species,exact_usda_name_match,
Fagus grandifolia,Fagus grandifolia,common_tree_review_candidate,common NA tree; no edibility verdict assigned,usda:FAGR,FAGR,"[""American beech""]",Fagaceae Dumort.,Fagus L.,Species,exact_usda_name_match,
Juglans nigra,Juglans nigra,common_tree_review_candidate,common NA tree; no edibility verdict assigned,usda:JUNI,JUNI,"[""black walnut""]",Juglandaceae DC. ex Perleb,Juglans L.,Species,exact_usda_name_match,
Carya ovata,Carya ovata,common_tree_review_candidate,common NA tree; no edibility verdict assigned,usda:CAOV2,CAOV2,"[""shagbark hickory""]",Juglandaceae DC. ex Perleb,Carya Nutt.,Species,exact_usda_name_match,
Pinus strobus,Pinus strobus,common_tree_review_candidate,common NA tree; no edibility verdict assigned,usda:PIST,PIST,"[""eastern white pine""]",Pinaceae Spreng. ex Rudolphi,Pinus L.,Species,exact_usda_name_match,
Tsuga canadensis,Tsuga canadensis,common_tree_review_candidate,common NA tree; no edibility verdict assigned,usda:TSCA,TSCA,"[""eastern hemlock""]",Pinaceae Spreng. ex Rudolphi,Tsuga Carrière,Species,exact_usda_name_match,
Juniperus virginiana,Juniperus virginiana,common_tree_review_candidate,common NA tree; no edibility verdict assigned,usda:JUVI,JUVI,"[""eastern redcedar""]",Cupressaceae Gray,Juniperus L.,Species,exact_usda_name_match,
Liriodendron tulipifera,Liriodendron tulipifera,common_tree_review_candidate,common NA tree; no edibility verdict assigned,usda:LITU,LITU,"[""tuliptree"", ""tulip poplar"", ""yellow poplar""]",Magnoliaceae Juss.,Liriodendron L.,Species,exact_usda_name_match,
Toxicodendron radicans,Toxicodendron radicans,toxic_review_candidate,high-risk contact plant; no edibility verdict assigned,usda:TORA2,TORA2,"[""eastern poison ivy""]",Anacardiaceae R. Br.,Toxicodendron Mill.,Species,exact_usda_name_match,
Toxicodendron diversilobum,Toxicodendron diversilobum,toxic_review_candidate,high-risk contact plant; no edibility verdict assigned,usda:TODI,TODI,"[""Pacific poison oak""]",Anacardiaceae R. Br.,Toxicodendron Mill.,Species,exact_usda_name_match,
Toxicodendron vernix,Toxicodendron vernix,toxic_review_candidate,high-risk contact plant; no edibility verdict assigned,usda:TOVE,TOVE,"[""poison sumac""]",Anacardiaceae R. Br.,Toxicodendron Mill.,Species,exact_usda_name_match,
Phytolacca americana,Phytolacca americana,toxic_review_candidate,high-risk plant; no edibility verdict assigned,usda:PHAM4,PHAM4,"[""American pokeweed""]",Phytolaccaceae R. Br.,Phytolacca L.,Species,exact_usda_name_match,
Solanum dulcamara,Solanum dulcamara,toxic_review_candidate,high-risk plant; no edibility verdict assigned,usda:SODU,SODU,"[""climbing nightshade""]",Solanaceae Juss.,Solanum L.,Species,exact_usda_name_match,
Atropa belladonna,Atropa belladonna,toxic_review_candidate,high-risk plant; no USDA PLANTS exact match; carried by GBIF accepted species match,gbif:3802655,,[],Solanaceae,Atropa,Species,gbif_exact_species_match,
Digitalis purpurea,Digitalis purpurea,toxic_review_candidate,high-risk plant; no edibility verdict assigned,usda:DIPU,DIPU,"[""purple foxglove""]",Scrophulariaceae Juss.,Digitalis L.,Species,exact_usda_name_match,
Nerium oleander,Nerium oleander,toxic_review_candidate,high-risk plant; no edibility verdict assigned,usda:NEOL,NEOL,"[""oleander""]",Apocynaceae Juss.,Nerium L.,Species,exact_usda_name_match,
Actaea pachypoda,Actaea pachypoda,toxic_review_candidate,high-risk plant; no edibility verdict assigned,usda:ACPA,ACPA,"[""white baneberry""]",Ranunculaceae Juss.,Actaea L.,Species,exact_usda_name_match,
Actaea rubra,Actaea rubra,toxic_review_candidate,high-risk plant; no edibility verdict assigned,usda:ACRU2,ACRU2,"[""red baneberry""]",Ranunculaceae Juss.,Actaea L.,Species,exact_usda_name_match,
Urtica dioica,Urtica dioica,medicinal_review_candidate,high-interest NA plant; no edibility verdict assigned,usda:URDI,URDI,"[""stinging nettle""]",Urticaceae Juss.,Urtica L.,Species,exact_usda_name_match,
Plantago major,Plantago major,medicinal_review_candidate,high-interest NA plant; no edibility verdict assigned,usda:PLMA2,PLMA2,"[""common plantain"", ""broad-leaved plantain""]",Plantaginaceae Juss.,Plantago L.,Species,exact_usda_name_match,
Achillea millefolium,Achillea millefolium,medicinal_review_candidate,high-interest NA plant; no edibility verdict assigned,usda:ACMI2,ACMI2,"[""common yarrow"", ""milenrama"", ""milfoil""]",Asteraceae Bercht. & J. Presl,Achillea L.,Species,exact_usda_name_match,
Echinacea purpurea,Echinacea purpurea,medicinal_review_candidate,high-interest NA plant; no edibility verdict assigned,usda:ECPU,ECPU,"[""eastern purple coneflower""]",Asteraceae Bercht. & J. Presl,Echinacea Moench,Species,exact_usda_name_match,
