taxon_id,usda_symbol,usda_id,scientific_name,scientific_name_with_author,common_names,family,genus,rank,native_statuses,growth_habits,source,matched_status
usda:ACAU,ACAU,76610,Acacia auriculiformis,Acacia auriculiformis A. Cunn. ex Benth.,"[""earleaf acacia""]",Fabaceae Lindl.,Acacia Mill.,Species,"[{""Region"": ""L48"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""PB"", ""Status"": ""I"", ""Type"": ""Introduced""}]","[""Shrub"", ""Tree""]",image_manifest,exact_usda_name_match
usda:ACCO15,ACCO15,76626,Acacia cognata,Acacia cognata Domin,"[""bower wattle""]",Fabaceae Lindl.,Acacia Mill.,Species,[],[],image_manifest,exact_usda_name_match
usda:ACCO,ACCO,76625,Acacia confusa,Acacia confusa Merr.,"[""small Philippine acacia""]",Fabaceae Lindl.,Acacia Mill.,Species,"[{""Region"": ""HI"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""PB"", ""Status"": ""I"", ""Type"": ""Introduced""}]","[""Tree""]",image_manifest,exact_usda_name_match
usda:ACDE3,ACDE3,76640,Acacia dealbata,Acacia dealbata Link,"[""silver wattle""]",Fabaceae Lindl.,Acacia Mill.,Species,"[{""Region"": ""L48"", ""Status"": ""I"", ""Type"": ""Introduced""}]","[""Shrub"", ""Tree""]",image_manifest,exact_usda_name_match
usda:ACKO,ACKO,76670,Acacia koa,Acacia koa A. Gray,"[""koa""]",Fabaceae Lindl.,Acacia Mill.,Species,"[{""Region"": ""HI"", ""Status"": ""N"", ""Type"": ""Native""}]","[""Tree""]",image_manifest,exact_usda_name_match
usda:ACLO,ACLO,76682,Acacia longifolia,Acacia longifolia (Andrews) Willd.,"[""Sydney golden wattle""]",Fabaceae Lindl.,Acacia Mill.,Species,"[{""Region"": ""L48"", ""Status"": ""I"", ""Type"": ""Introduced""}]","[""Shrub"", ""Tree""]",image_manifest,exact_usda_name_match
usda:ACMA12,ACMA12,76689,Acacia mangium,Acacia mangium Willd.,[],Fabaceae Lindl.,Acacia Mill.,Species,[],[],image_manifest,exact_usda_name_match
usda:ACME80,ACME80,76692,Acacia mearnsii,Acacia mearnsii De Wild.,"[""black wattle""]",Fabaceae Lindl.,Acacia Mill.,Species,"[{""Region"": ""HI"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""L48"", ""Status"": ""I"", ""Type"": ""Introduced""}]","[""Shrub"", ""Tree""]",image_manifest,exact_usda_name_match
usda:ACME,ACME,76690,Acacia melanoxylon,Acacia melanoxylon R. Br.,"[""blackwood""]",Fabaceae Lindl.,Acacia Mill.,Species,"[{""Region"": ""HI"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""L48"", ""Status"": ""I"", ""Type"": ""Introduced""}]","[""Tree""]",image_manifest,exact_usda_name_match
usda:ACPO2,ACPO2,76714,Acacia podalyriifolia,Acacia podalyriifolia A. Cunn. ex G. Don,"[""pearl wattle""]",Fabaceae Lindl.,Acacia Mill.,Species,"[{""Region"": ""L48"", ""Status"": ""I"", ""Type"": ""Introduced""}]","[""Tree""]",image_manifest,exact_usda_name_match
usda:ACPY3,ACPY3,76719,Acacia pycnantha,Acacia pycnantha Benth.,"[""golden wattle""]",Fabaceae Lindl.,Acacia Mill.,Species,"[{""Region"": ""L48"", ""Status"": ""I"", ""Type"": ""Introduced""}]","[""Shrub"", ""Tree""]",image_manifest,exact_usda_name_match
usda:ACRE9,ACRE9,76724,Acacia redolens,Acacia redolens Maslin,"[""bank catclaw""]",Fabaceae Lindl.,Acacia Mill.,Species,"[{""Region"": ""L48"", ""Status"": ""I"", ""Type"": ""Introduced""}]","[""Shrub""]",image_manifest,exact_usda_name_match
usda:ACRE2,ACRE2,76723,Acacia retinodes,Acacia retinodes Schltdl.,"[""water wattle""]",Fabaceae Lindl.,Acacia Mill.,Species,"[{""Region"": ""L48"", ""Status"": ""I"", ""Type"": ""Introduced""}]","[""Shrub"", ""Tree""]",image_manifest,exact_usda_name_match
usda:ACSA,ACSA,76731,Acacia saligna,Acacia saligna (Labill.) Wendl. f.,"[""orange wattle""]",Fabaceae Lindl.,Acacia Mill.,Species,"[{""Region"": ""L48"", ""Status"": ""I"", ""Type"": ""Introduced""}]","[""Shrub"", ""Tree""]",image_manifest,exact_usda_name_match
usda:ACAN11,ACAN11,76762,Acaciella angustissima,Acaciella angustissima (Mill.) Britton & Rose,"[""prairie acacia""]",Fabaceae Lindl.,Acaciella Britton & Rose,Species,"[{""Region"": ""L48"", ""Status"": ""N"", ""Type"": ""Native""}]","[""Forb/herb"", ""Subshrub""]",image_manifest,exact_usda_name_match
usda:ACAL2,ACAL2,75291,Acalypha alopecuroidea,Acalypha alopecuroidea Jacq.,"[""foxtail copperleaf""]",Euphorbiaceae Juss.,Acalypha L.,Species,"[{""Region"": ""L48"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""PR"", ""Status"": ""N"", ""Type"": ""Native""}]","[""Forb/herb""]",image_manifest,exact_usda_name_match
usda:ACHI2,ACHI2,75311,Acalypha hispida,Acalypha hispida Burm. f.,"[""red-hot cat's tail"", ""bristly copperleaf""]",Euphorbiaceae Juss.,Acalypha L.,Species,"[{""Region"": ""PB"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""PR"", ""Status"": ""I"", ""Type"": ""Introduced""}]","[""Shrub""]",image_manifest,exact_usda_name_match
usda:ACIN12,ACIN12,75312,Acalypha indica,Acalypha indica L.,"[""Indian acalypha"", ""Indian-nettle""]",Euphorbiaceae Juss.,Acalypha L.,Species,"[{""Region"": ""PB"", ""Status"": ""I"", ""Type"": ""Introduced""}]","[""Forb/herb""]",image_manifest,exact_usda_name_match
usda:ACVI,ACVI,75335,Acalypha virginica,Acalypha virginica L.,"[""Virginia threeseed mercury""]",Euphorbiaceae Juss.,Acalypha L.,Species,"[{""Region"": ""L48"", ""Status"": ""N"", ""Type"": ""Native""}]","[""Forb/herb""]",image_manifest,exact_usda_name_match
usda:ACWI,ACWI,75336,Acalypha wilkesiana,Acalypha wilkesiana Müll. Arg.,"[""Wilkes' acalypha"", ""acalyfa"", ""beefsteak plant"", ""capa de obispo"", ""fire-dragon"", ""Jacob's coat"", ""Jacob's-coat"", ""match me if you can"", ""primavera""]",Euphorbiaceae Juss.,Acalypha L.,Species,"[{""Region"": ""L48"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""PB"", ""Status"": ""I?"", ""Type"": ""Introduced""}, {""Region"": ""PR"", ""Status"": ""I"", ""Type"": ""Introduced""}]","[""Shrub""]",image_manifest,exact_usda_name_match
usda:ACRU,ACRU,92846,Acer rubrum,Acer rubrum L.,"[""red maple""]",Aceraceae Juss.,Acer L.,Species,"[{""Region"": ""CAN"", ""Status"": ""N"", ""Type"": ""Native""}, {""Region"": ""L48"", ""Status"": ""N"", ""Type"": ""Native""}]","[""Tree""]",target_seed,exact_usda_name_match
usda:ACSA3,ACSA3,92865,Acer saccharum,Acer saccharum Marshall,"[""sugar maple""]",Aceraceae Juss.,Acer L.,Species,"[{""Region"": ""CAN"", ""Status"": ""N"", ""Type"": ""Native""}, {""Region"": ""L48"", ""Status"": ""N"", ""Type"": ""Native""}]","[""Shrub"", ""Tree""]",target_seed,exact_usda_name_match
usda:ACMI2,ACMI2,31206,Achillea millefolium,Achillea millefolium L.,"[""common yarrow"", ""milenrama"", ""milfoil""]",Asteraceae Bercht. & J. Presl,Achillea L.,Species,"[{""Region"": ""AK"", ""Status"": ""N"", ""Type"": ""Native""}, {""Region"": ""CAN"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""CAN"", ""Status"": ""N"", ""Type"": ""Native""}, {""Region"": ""GL"", ""Status"": ""N"", ""Type"": ""Native""}, {""Region"": ""HI"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""L48"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""L48"", ""Status"": ""N"", ""Type"": ""Native""}, {""Region"": ""SPM"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""SPM"", ""Status"": ""N"", ""Type"": ""Native""}]","[""Forb/herb""]",target_seed,exact_usda_name_match
usda:ACAS,ACAS,55638,Achyranthes aspera,Achyranthes aspera L.,"[""devil's horsewhip""]",Amaranthaceae Martinov,Achyranthes L.,Species,"[{""Region"": ""HI"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""L48"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""NAV"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""PB"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""PB"", ""Status"": ""N"", ""Type"": ""Native""}, {""Region"": ""PR"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""VI"", ""Status"": ""I"", ""Type"": ""Introduced""}]","[""Forb/herb"", ""Subshrub""]",image_manifest,exact_usda_name_match
usda:ACPA,ACPA,72484,Actaea pachypoda,Actaea pachypoda Elliott,"[""white baneberry""]",Ranunculaceae Juss.,Actaea L.,Species,"[{""Region"": ""CAN"", ""Status"": ""N"", ""Type"": ""Native""}, {""Region"": ""L48"", ""Status"": ""N"", ""Type"": ""Native""}]","[""Forb/herb""]",target_seed,exact_usda_name_match
usda:ACRU2,ACRU2,72501,Actaea rubra,Actaea rubra (Aiton) Willd.,"[""red baneberry""]",Ranunculaceae Juss.,Actaea L.,Species,"[{""Region"": ""AK"", ""Status"": ""N"", ""Type"": ""Native""}, {""Region"": ""CAN"", ""Status"": ""N"", ""Type"": ""Native""}, {""Region"": ""L48"", ""Status"": ""N"", ""Type"": ""Native""}]","[""Forb/herb""]",target_seed,exact_usda_name_match
usda:ADFU,ADFU,71771,Adlumia fungosa,"Adlumia fungosa (Aiton) Greene ex Britton, Sterns & Poggenb.","[""allegheny vine""]",Fumariaceae Marquis,Adlumia Raf. ex DC.,Species,"[{""Region"": ""CAN"", ""Status"": ""N"", ""Type"": ""Native""}, {""Region"": ""L48"", ""Status"": ""N"", ""Type"": ""Native""}]","[""Forb/herb"", ""Vine""]",image_manifest,exact_usda_name_match
usda:ADAE,ADAE,72512,Adonis aestivalis,Adonis aestivalis L.,"[""summer pheasant's eye""]",Ranunculaceae Juss.,Adonis L.,Species,"[{""Region"": ""L48"", ""Status"": ""I"", ""Type"": ""Introduced""}]","[""Forb/herb""]",image_manifest,exact_usda_name_match
usda:ADAN,ADAN,72514,Adonis annua,Adonis annua L.,"[""blooddrops""]",Ranunculaceae Juss.,Adonis L.,Species,"[{""Region"": ""CAN"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""L48"", ""Status"": ""I"", ""Type"": ""Introduced""}]","[""Forb/herb""]",image_manifest,exact_usda_name_match
usda:ADVE,ADVE,72516,Adonis vernalis,Adonis vernalis L.,"[""spring pheasant's eye""]",Ranunculaceae Juss.,Adonis L.,Species,"[{""Region"": ""L48"", ""Status"": ""I"", ""Type"": ""Introduced""}]","[""Forb/herb""]",image_manifest,exact_usda_name_match
usda:AEPO,AEPO,73687,Aegopodium podagraria,Aegopodium podagraria L.,"[""bishop's goutweed""]",Apiaceae Lindl.,Aegopodium L.,Species,"[{""Region"": ""CAN"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""L48"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""SPM"", ""Status"": ""I"", ""Type"": ""Introduced""}]","[""Forb/herb""]",image_manifest,exact_usda_name_match
usda:AEAM,AEAM,76799,Aeschynomene americana,Aeschynomene americana L.,"[""shyleaf""]",Fabaceae Lindl.,Aeschynomene L.,Species,"[{""Region"": ""L48"", ""Status"": ""N"", ""Type"": ""Native""}, {""Region"": ""PB"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""PR"", ""Status"": ""N"", ""Type"": ""Native""}, {""Region"": ""VI"", ""Status"": ""I"", ""Type"": ""Introduced""}]","[""Forb/herb"", ""Subshrub""]",image_manifest,exact_usda_name_match
usda:ALRO3,ALRO3,65838,Alcea rosea,Alcea rosea L.,"[""hollyhock""]",Malvaceae Juss.,Alcea L.,Species,"[{""Region"": ""CAN"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""L48"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""PR"", ""Status"": ""I"", ""Type"": ""Introduced""}]","[""Forb/herb""]",image_manifest,exact_usda_name_match
usda:ALPE4,ALPE4,61790,Alliaria petiolata,Alliaria petiolata (M. Bieb.) Cavara & Grande,"[""garlic mustard""]",Brassicaceae Burnett,Alliaria Heist. ex Fabr.,Species,"[{""Region"": ""AK"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""CAN"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""L48"", ""Status"": ""I"", ""Type"": ""Introduced""}]","[""Forb/herb""]",image_manifest,exact_usda_name_match
usda:ALCA3,ALCA3,27871,Allium canadense,Allium canadense L.,"[""meadow garlic""]",Liliaceae Juss.,Allium L.,Species,"[{""Region"": ""CAN"", ""Status"": ""N"", ""Type"": ""Native""}, {""Region"": ""L48"", ""Status"": ""N"", ""Type"": ""Native""}]","[""Forb/herb""]",target_seed,exact_usda_name_match
usda:ALTR3,ALTR3,28087,Allium tricoccum,Allium tricoccum Aiton,"[""ramp"", ""wild leek""]",Liliaceae Juss.,Allium L.,Species,"[{""Region"": ""CAN"", ""Status"": ""N"", ""Type"": ""Native""}, {""Region"": ""L48"", ""Status"": ""N"", ""Type"": ""Native""}]","[""Forb/herb""]",target_seed,exact_usda_name_match
usda:ALCU5,ALCU5,16281,Alocasia cucullata,Alocasia cucullata (Lour.) G. Don,"[""chinese taro""]",Araceae Juss.,Alocasia (Schott) G. Don,Species,"[{""Region"": ""PB"", ""Status"": ""I"", ""Type"": ""Introduced""}]",[],image_manifest,exact_usda_name_match
usda:ALMA11,ALMA11,16282,Alocasia macrorrhizos,Alocasia macrorrhizos (L.) G. Don,"[""giant taro"", ""'ape""]",Araceae Juss.,Alocasia (Schott) G. Don,Species,"[{""Region"": ""HI"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""L48"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""PB"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""PR"", ""Status"": ""I"", ""Type"": ""Introduced""}]","[""Forb/herb""]",image_manifest,exact_usda_name_match
usda:ALOD3,ALOD3,16290,Alocasia odora,Alocasia odora (Lodd.) G. Don,"[""Asian taro""]",Araceae Juss.,Alocasia (Schott) G. Don,Species,"[{""Region"": ""L48"", ""Status"": ""I"", ""Type"": ""Introduced""}]","[""Forb/herb""]",image_manifest,exact_usda_name_match
usda:ALCA25,ALCA25,65851,Althaea cannabina,Althaea cannabina L.,"[""palm-leaf marshmallow""]",Malvaceae Juss.,Althaea L.,Species,"[{""Region"": ""L48"", ""Status"": ""I"", ""Type"": ""Introduced""}]","[""Forb/herb""]",image_manifest,exact_usda_name_match
usda:ALOF2,ALOF2,65853,Althaea officinalis,Althaea officinalis L.,"[""common marshmallow""]",Malvaceae Juss.,Althaea L.,Species,"[{""Region"": ""CAN"", ""Status"": ""I"", ""Type"": ""Introduced""}, {""Region"": ""L48"", ""Status"": ""I"", ""Type"": ""Introduced""}]","[""Forb/herb""]",image_manifest,exact_usda_name_match
usda:AMAL2,AMAL2,88654,Amelanchier alnifolia,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,"[""Saskatoon serviceberry""]",Rosaceae Juss.,Amelanchier Medik.,Species,"[{""Region"": ""AK"", ""Status"": ""N"", ""Type"": ""Native""}, {""Region"": ""CAN"", ""Status"": ""N"", ""Type"": ""Native""}, {""Region"": ""L48"", ""Status"": ""N"", ""Type"": ""Native""}]","[""Shrub"", ""Tree""]",target_seed,exact_usda_name_match
usda:ANCO40,ANCO40,72527,Anemone coronaria,Anemone coronaria L.,"[""lilies-of-the-field""]",Ranunculaceae Juss.,Anemone L.,Species,[],[],image_manifest,exact_usda_name_match
usda:ANNAM2,ANNAM2,72565,Anemone narcissiflora,Anemone narcissiflora L. var. monantha DC.,"[""narcissus anemone""]",Ranunculaceae Juss.,Anemone L.,Variety,"[{""Region"": ""AK"", ""Status"": ""N"", ""Type"": ""Native""}, {""Region"": ""CAN"", ""Status"": ""N"", ""Type"": ""Native""}]","[""Forb/herb""]",image_manifest,exact_usda_name_match
usda:ANRA2,ANRA2,72602,Anemone ranunculoides,Anemone ranunculoides L.,"[""yellow woodland anemone""]",Ranunculaceae Juss.,Anemone L.,Species,"[{""Region"": ""CAN"", ""Status"": ""I"", ""Type"": ""Introduced""}]","[""Forb/herb""]",image_manifest,exact_usda_name_match
usda:ANVI3,ANVI3,72611,Anemone virginiana,Anemone virginiana L.,"[""tall thimbleweed""]",Ranunculaceae Juss.,Anemone L.,Species,"[{""Region"": ""CAN"", ""Status"": ""N"", ""Type"": ""Native""}, {""Region"": ""L48"", ""Status"": ""N"", ""Type"": ""Native""}]","[""Forb/herb""]",image_manifest,exact_usda_name_match
usda:ANAR9,ANAR9,73720,Angelica archangelica,Angelica archangelica L.,"[""Norwegian angelica""]",Apiaceae Lindl.,Angelica L.,Species,"[{""Region"": ""GL"", ""Status"": ""N"", ""Type"": ""Native""}]","[""Forb/herb""]",image_manifest,exact_usda_name_match
usda:ANAT,ANAT,73723,Angelica atropurpurea,Angelica atropurpurea L.,"[""purplestem angelica""]",Apiaceae Lindl.,Angelica L.,Species,"[{""Region"": ""CAN"", ""Status"": ""N"", ""Type"": ""Native""}, {""Region"": ""L48"", ""Status"": ""N"", ""Type"": ""Native""}]","[""Forb/herb""]",image_manifest,exact_usda_name_match
usda:ANLU,ANLU,73740,Angelica lucida,Angelica lucida L.,"[""seacoast angelica""]",Apiaceae Lindl.,Angelica L.,Species,"[{""Region"": ""AK"", ""Status"": ""N"", ""Type"": ""Native""}, {""Region"": ""CAN"", ""Status"": ""N"", ""Type"": ""Native""}, {""Region"": ""L48"", ""Status"": ""N"", ""Type"": ""Native""}]","[""Forb/herb""]",image_manifest,exact_usda_name_match
