scientific_name,source,matched_status,notes
Lavandula dentata,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Nymphaea nouchali,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Dryopteris aemula,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Dryopteris affinis,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Lithodora fruticosa,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Gypsophila vaccaria,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Calendula stellata,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Carthamus caeruleus,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Phonus lanatus,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Cirsium monspessulanum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Hyoseris radiata,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Lactuca tenerrima,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Limbarda crithmoides,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Petrosedum amplexicaule,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Sedum andegavense,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Sedum brevifolium,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Sedum caeruleum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Sedum cespitosum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Sedum cepaea,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Petrosedum forsterianum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Sedum hirsutum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Sedum litoreum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Sedum multiceps,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Sedum rubens,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Petrosedum sediforme,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Boscia integrifolia,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Fibigia clypeata,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Maerua angolensis,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Mercurialis perennis,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Phyllanthus reticulatus,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Hypericum australe,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Hypericum empetrifolium,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Hypericum hirsutum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Hypericum linariifolium,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Hypericum montanum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Hypericum perfoliatum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Hypericum tetrapterum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Hypericum tomentosum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Lamium bifidum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Lamium flexuosum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Lamium garganicum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Lavandula canariensis,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Lavandula minutolii,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Lavandula multifida,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Lupinus cosentinii,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Lupinus gussoneanus,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Trifolium ochroleucon,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Papaver atlanticum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Papaver rupifragum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Goniolimon tataricum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Adonis flammea,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Adonis microcarpa,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Anemone palmata,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Daphne gnidium,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Daphne oleoides,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Daucus muricatus,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Meum athamanticum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Thapsia garganica,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Thapsia villosa,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Valeriana calcitrapae,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Valeriana cornucopiae,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Pancratium canariense,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Anthericum liliago,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Neotinea maculata,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Ophrys apifera,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Ophrys bombyliflora,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Ophrys fusca,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Ophrys lutea,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Ophrys scolopax,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Ophrys speculum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Ophrys tenthredinifera,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Groenlandia densa,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Hypericum triquetrifolium,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Thesium humifusum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Vachellia etbaica,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Valeriana angustifolia,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Valeriana lecoqii,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Sedum anglicum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Petrosedum rupestre,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Tuberaria lignosa,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Heptapleurum actinophyllum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Cenchrus setaceus,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Anemone hortensis,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Tradescantia cerinthoides,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Roemeria argemone,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Roemeria sicula,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Aizoon canariense,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Dalbergia melanoxylon,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Barbarea intermedia,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Ranunculus minimus,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Valeriana rubra,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Harpachne schimperi,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Neltuma alba,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Neltuma juliflora,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Crotalaria chrysochlora,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Crotalaria deflersii,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Crotalaria polysperma,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Crotalaria uguenensis,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Vachellia drepanolobium,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Vachellia hockii,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Gomphocarpus integer,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Gymnosporia putterlickioides,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
