taxon_id,scientific_name,common_names,edibility,consumption_guidance,preparation_required,toxic_lookalikes,hazard_notes,confidence_of_record,sources,needs_human_review
usda:ACAU,Acacia auriculiformis,"[""earleaf acacia""]",unknown,do_not_eat,,[],Unreviewed record. Default fail-safe guidance is do not eat.,low,"[{""purpose"": ""taxonomy"", ""source_id"": ""usda-plants"", ""url"": ""https://plants.usda.gov/plant-profile/ACAU""}, {""purpose"": ""future human review"", ""source_id"": ""naeb"", ""status"": ""not_checked""}]",true
usda:ACCO15,Acacia cognata,"[""bower wattle""]",unknown,do_not_eat,,[],Unreviewed record. Default fail-safe guidance is do not eat.,low,"[{""purpose"": ""taxonomy"", ""source_id"": ""usda-plants"", ""url"": ""https://plants.usda.gov/plant-profile/ACCO15""}, {""purpose"": ""future human review"", ""source_id"": ""naeb"", ""status"": ""not_checked""}]",true
usda:ACCO,Acacia confusa,"[""small Philippine acacia""]",unknown,do_not_eat,,[],Unreviewed record. Default fail-safe guidance is do not eat.,low,"[{""purpose"": ""taxonomy"", ""source_id"": ""usda-plants"", ""url"": ""https://plants.usda.gov/plant-profile/ACCO""}, {""purpose"": ""future human review"", ""source_id"": ""naeb"", ""status"": ""not_checked""}]",true
usda:ACDE3,Acacia dealbata,"[""silver wattle""]",unknown,do_not_eat,,[],Unreviewed record. Default fail-safe guidance is do not eat.,low,"[{""purpose"": ""taxonomy"", ""source_id"": ""usda-plants"", ""url"": ""https://plants.usda.gov/plant-profile/ACDE3""}, {""purpose"": ""future human review"", ""source_id"": ""naeb"", ""status"": ""not_checked""}]",true
usda:ACKO,Acacia koa,"[""koa""]",unknown,do_not_eat,,[],Unreviewed record. Default fail-safe guidance is do not eat.,low,"[{""purpose"": ""taxonomy"", ""source_id"": ""usda-plants"", ""url"": ""https://plants.usda.gov/plant-profile/ACKO""}, {""purpose"": ""future human review"", ""source_id"": ""naeb"", ""status"": ""not_checked""}]",true
usda:ACLO,Acacia longifolia,"[""Sydney golden wattle""]",unknown,do_not_eat,,[],Unreviewed record. Default fail-safe guidance is do not eat.,low,"[{""purpose"": ""taxonomy"", ""source_id"": ""usda-plants"", ""url"": ""https://plants.usda.gov/plant-profile/ACLO""}, {""purpose"": ""future human review"", ""source_id"": ""naeb"", ""status"": ""not_checked""}]",true
usda:ACMA12,Acacia mangium,[],unknown,do_not_eat,,[],Unreviewed record. Default fail-safe guidance is do not eat.,low,"[{""purpose"": ""taxonomy"", ""source_id"": ""usda-plants"", ""url"": ""https://plants.usda.gov/plant-profile/ACMA12""}, {""purpose"": ""future human review"", ""source_id"": ""naeb"", ""status"": ""not_checked""}]",true
usda:ACME80,Acacia mearnsii,"[""black wattle""]",unknown,do_not_eat,,[],Unreviewed record. Default fail-safe guidance is do not eat.,low,"[{""purpose"": ""taxonomy"", ""source_id"": ""usda-plants"", ""url"": ""https://plants.usda.gov/plant-profile/ACME80""}, {""purpose"": ""future human review"", ""source_id"": ""naeb"", ""status"": ""not_checked""}]",true
usda:ACME,Acacia melanoxylon,"[""blackwood""]",unknown,do_not_eat,,[],Unreviewed record. Default fail-safe guidance is do not eat.,low,"[{""purpose"": ""taxonomy"", ""source_id"": ""usda-plants"", ""url"": ""https://plants.usda.gov/plant-profile/ACME""}, {""purpose"": ""future human review"", ""source_id"": ""naeb"", ""status"": ""not_checked""}]",true
usda:ACPO2,Acacia podalyriifolia,"[""pearl wattle""]",unknown,do_not_eat,,[],Unreviewed record. Default fail-safe guidance is do not eat.,low,"[{""purpose"": ""taxonomy"", ""source_id"": ""usda-plants"", ""url"": ""https://plants.usda.gov/plant-profile/ACPO2""}, {""purpose"": ""future human review"", ""source_id"": ""naeb"", ""status"": ""not_checked""}]",true
