scientific_name,taxon_id,priority_group,pre_cap_count,selected_count,held_aside_count,is_toxic_remediation_target,median_selected_count,below_1_to_3_vs_median
Acer rubrum,usda:ACRU,common_tree_review_candidate,100,100,0,false,100,false
Acer saccharum,usda:ACSA3,common_tree_review_candidate,100,100,0,false,100,false
Achillea millefolium,usda:ACMI2,medicinal_review_candidate,100,100,0,false,100,false
Actaea pachypoda,usda:ACPA,toxic_review_candidate,500,500,0,true,100,false
Actaea rubra,usda:ACRU2,toxic_review_candidate,500,500,0,true,100,false
Allium canadense,usda:ALCA3,foraging_review_candidate,100,100,0,false,100,false
Allium tricoccum,usda:ALTR3,foraging_review_candidate,100,100,0,false,100,false
Amelanchier alnifolia,usda:AMAL2,foraging_review_candidate,100,100,0,false,100,false
Asimina triloba,usda:ASTR,foraging_review_candidate,100,100,0,false,100,false
Atropa belladonna,gbif:3802655,toxic_review_candidate,2,2,0,true,100,true
Betula papyrifera,usda:BEPA,common_tree_review_candidate,100,100,0,false,100,false
Carya ovata,usda:CAOV2,common_tree_review_candidate,100,100,0,false,100,false
Cicuta douglasii,usda:CIDO,lookalike_review_candidate,500,500,0,true,100,false
Cicuta maculata,usda:CIMA2,lookalike_review_candidate,500,500,0,true,100,false
Conium maculatum,usda:COMA2,lookalike_review_candidate,500,500,0,true,100,false
Daucus carota,usda:DACA6,lookalike_review_candidate,9110,500,8610,false,100,false
Digitalis purpurea,usda:DIPU,toxic_review_candidate,500,500,0,true,100,false
Echinacea purpurea,usda:ECPU,medicinal_review_candidate,100,100,0,false,100,false
Fagus grandifolia,usda:FAGR,common_tree_review_candidate,100,100,0,false,100,false
Fragaria virginiana,usda:FRVI,foraging_review_candidate,127,127,0,false,100,false
Juglans nigra,usda:JUNI,common_tree_review_candidate,100,100,0,false,100,false
Juniperus virginiana,usda:JUVI,common_tree_review_candidate,100,100,0,false,100,false
Liriodendron tulipifera,usda:LITU,common_tree_review_candidate,2726,500,2226,false,100,false
Nerium oleander,usda:NEOL,toxic_review_candidate,500,500,0,true,100,false
Opuntia humifusa,usda:OPHU,foraging_review_candidate,100,100,0,false,100,false
Phytolacca americana,usda:PHAM4,toxic_review_candidate,500,500,0,true,100,false
Pinus strobus,usda:PIST,common_tree_review_candidate,100,100,0,false,100,false
Plantago major,usda:PLMA2,medicinal_review_candidate,100,100,0,false,100,false
Prunus serotina,usda:PRSE2,common_tree_review_candidate,100,100,0,false,100,false
Quercus alba,usda:QUAL,common_tree_review_candidate,100,100,0,false,100,false
Quercus rubra,usda:QURU,common_tree_review_candidate,100,100,0,false,100,false
Rubus allegheniensis,usda:RUAL,foraging_review_candidate,100,100,0,false,100,false
Rubus idaeus,usda:RUID,foraging_review_candidate,100,100,0,false,100,false
Sambucus nigra,usda:SANIC4,foraging_review_candidate,100,100,0,false,100,false
Solanum dulcamara,usda:SODU,toxic_review_candidate,500,500,0,true,100,false
Toxicodendron diversilobum,usda:TODI,toxic_review_candidate,500,500,0,true,100,false
Toxicodendron radicans,usda:TORA2,toxic_review_candidate,500,500,0,true,100,false
Toxicodendron vernix,usda:TOVE,toxic_review_candidate,500,500,0,true,100,false
Tsuga canadensis,usda:TSCA,common_tree_review_candidate,100,100,0,false,100,false
Typha angustifolia,usda:TYAN,foraging_review_candidate,100,100,0,false,100,false
Typha latifolia,usda:TYLA,foraging_review_candidate,100,100,0,false,100,false
Urtica dioica,usda:URDI,medicinal_review_candidate,100,100,0,false,100,false
Vaccinium angustifolium,usda:VAAN,foraging_review_candidate,100,100,0,false,100,false
Vaccinium corymbosum,usda:VACO,foraging_review_candidate,100,100,0,false,100,false
Zigadenus glaberrimus,usda:ZIGL,lookalike_review_candidate,500,500,0,true,100,false
Zigadenus paniculatus,usda:ZIPA2,lookalike_review_candidate,500,500,0,true,100,false
Zigadenus venenosus,usda:ZIVE,lookalike_review_candidate,500,500,0,true,100,false
