image_id,path,bytes,split
gbif-inat-toxic-round2:00310677,images/raw/gbif-inat-toxic-round2/cicuta_maculata/6273745384_2.jpg,2516968,train
gbif-inat-toxic-round2:00310678,images/raw/gbif-inat-toxic-round2/cicuta_maculata/6273823534_1.jpg,1295928,train
gbif-inat-toxic-round2:00310679,images/raw/gbif-inat-toxic-round2/cicuta_maculata/6273894706_1.jpg,3682178,test
gbif-inat-toxic-round2:00310680,images/raw/gbif-inat-toxic-round2/cicuta_maculata/6274043707_1.jpg,1076920,train
gbif-inat-toxic-round2:00310681,images/raw/gbif-inat-toxic-round2/cicuta_maculata/6274043707_2.jpg,443343,calibration
gbif-inat-toxic-round2:00310682,images/raw/gbif-inat-toxic-round2/cicuta_maculata/6274110855_1.jpg,3530858,train
gbif-inat-toxic-round2:00310683,images/raw/gbif-inat-toxic-round2/cicuta_maculata/6274110855_2.jpg,3239931,train
gbif-inat-toxic-round2:00310684,images/raw/gbif-inat-toxic-round2/cicuta_maculata/6274118515_1.jpg,1591630,train
gbif-inat-toxic-round2:00310685,images/raw/gbif-inat-toxic-round2/cicuta_maculata/6274118515_2.jpg,1189084,train
gbif-inat-toxic-round2:00310686,images/raw/gbif-inat-toxic-round2/cicuta_maculata/6274118515_3.jpg,1973855,train
gbif-inat-toxic-round2:00310687,images/raw/gbif-inat-toxic-round2/cicuta_maculata/6274192660_1.jpg,2036976,train
gbif-inat-toxic-round2:00310688,images/raw/gbif-inat-toxic-round2/cicuta_maculata/6273395793_1.jpg,1982237,val
gbif-inat-toxic-round2:00310689,images/raw/gbif-inat-toxic-round2/cicuta_maculata/6273478774_1.jpg,789803,train
gbif-inat-toxic-round2:00310690,images/raw/gbif-inat-toxic-round2/cicuta_maculata/6273478774_2.jpg,771230,train
gbif-inat-toxic-round2:00310691,images/raw/gbif-inat-toxic-round2/cicuta_maculata/6273478774_3.jpg,3839546,train
gbif-inat-toxic-round2:00310692,images/raw/gbif-inat-toxic-round2/cicuta_maculata/6273495728_1.jpg,2333337,train
gbif-inat-toxic-round2:00310693,images/raw/gbif-inat-toxic-round2/cicuta_maculata/6273495728_2.jpg,2443605,test
gbif-inat-toxic-round2:00310694,images/raw/gbif-inat-toxic-round2/cicuta_maculata/6273495728_3.jpg,2234509,train
gbif-inat-toxic-round2:00310695,images/raw/gbif-inat-toxic-round2/cicuta_maculata/6273624700_1.jpg,1775969,train
gbif-inat-toxic-round2:00310696,images/raw/gbif-inat-toxic-round2/cicuta_maculata/6273624700_2.jpg,955742,train
gbif-inat-toxic-round2:00310697,images/raw/gbif-inat-toxic-round2/cicuta_maculata/6273624700_3.jpg,1169494,train
gbif-inat-toxic-round2:00310698,images/raw/gbif-inat-toxic-round2/cicuta_maculata/6273624700_4.jpg,1591823,train
gbif-inat-toxic-round2:00310699,images/raw/gbif-inat-toxic-round2/cicuta_maculata/6273676733_1.jpg,1508475,calibration
gbif-inat-toxic-round2:00310700,images/raw/gbif-inat-toxic-round2/cicuta_maculata/6273676733_2.jpg,1428359,train
gbif-inat-toxic-round2:00310701,images/raw/gbif-inat-toxic-round2/cicuta_maculata/6273854476_1.jpg,372049,calibration
gbif-inat-toxic-round2:00310702,images/raw/gbif-inat-toxic-round2/cicuta_maculata/6273926731_1.jpg,1220016,test
