shard,split,index,image_count,bytes,sha256
train-000.tar,train,0,2209,4297000960,b86a68377691490918916c3ea4619335c51d7408e8bad18c4f07171579fe4b23
train-001.tar,train,1,2464,4297318400,c33970053b263592b27b9fca43c2d893dd5db50d4cb075245b8c5d287e6cbdb8
train-002.tar,train,2,2080,4298844160,6033f91a5c2bab1a9b0d50b81fe5a19936b9bb85628b99029ecf722e1b38a768
train-003.tar,train,3,1247,2369443840,ba1e36c7eb57e315282a4c9f0a08eda9f9168430e0607ee2576a2c7f5ce03488
val-000.tar,val,0,1143,2161541120,63445608ee3dbbedf2bd503251549814805e0f9a422b84657878b1e8110c79f1
test-000.tar,test,0,1143,2167060480,da93cb41ab7fa78bc8828f526e65aa7f6e7c69a72cb96195e1fd60a21643a96d
calibration-000.tar,calibration,0,1143,2194104320,005a2848c1ae73e4a768c2a05e84f0dc4b19c70cbf3903fb99c41759d6f55f1c
heldaside-000.tar,heldaside,0,10836,1857208320,7884191d667b44581f8987d2bcdd97fa72e1a0295c99f51bdd50c9d32ca0bbc6
pretraining-000.tar,pretraining,0,31373,4363417600,12c76bbc8cba7d8658d2609600619609e2b01be042f8efa26a69be866ed85cdf
pretraining-001.tar,pretraining,1,30698,4361840640,7307b332e122fd6dc1b1022640adb64d6a75aa10b8d891e2b2837e099d52c6e8
pretraining-002.tar,pretraining,2,31817,4364154880,70f97750bdb288f7a8a419f02c99bf0f7800415321ea691aa3bb96348e543dbd
pretraining-003.tar,pretraining,3,31964,4364482560,84da8efbf4fdb8b872e5c7b45cacbfd9e7ab868d067a774ff197390b954379b9
pretraining-004.tar,pretraining,4,30190,4360724480,d204d1388491a7137867d58372e82583fd844ca8485533e00bcfea7f00dfab11
pretraining-005.tar,pretraining,5,31478,4363571200,e9046461652683222b527897000600f65e7a3ee6e8de3d12bcc370d85152a662
pretraining-006.tar,pretraining,6,30684,4361840640,01fec6e86294854fcb4e09b366c302c6fba09c6bf6fe1e6cb734ed2d662da11c
pretraining-007.tar,pretraining,7,30410,4361277440,3a32f91c652187a5e097708d03bc1612d675fb619e8452e51d29b95e2efac0d5
pretraining-008.tar,pretraining,8,32659,4366120960,6ec7e7cba0d98643c52bff5322b838bc91a253949f020c552ad8de901c863f65
pretraining-009.tar,pretraining,9,13140,1826713600,b5bacd69283527993740ee88b477dd8586b79db53ccad331d2e855e3fe4e888d
