shard,split,index,image_count,bytes,sha256
pretraining-000.tar,pretraining,0,31373,4363417600,12c76bbc8cba7d8658d2609600619609e2b01be042f8efa26a69be866ed85cdf
pretraining-001.tar,pretraining,1,30698,4361840640,7307b332e122fd6dc1b1022640adb64d6a75aa10b8d891e2b2837e099d52c6e8
pretraining-002.tar,pretraining,2,31817,4364154880,70f97750bdb288f7a8a419f02c99bf0f7800415321ea691aa3bb96348e543dbd
pretraining-003.tar,pretraining,3,31964,4364482560,84da8efbf4fdb8b872e5c7b45cacbfd9e7ab868d067a774ff197390b954379b9
pretraining-004.tar,pretraining,4,30190,4360724480,d204d1388491a7137867d58372e82583fd844ca8485533e00bcfea7f00dfab11
pretraining-005.tar,pretraining,5,31478,4363571200,e9046461652683222b527897000600f65e7a3ee6e8de3d12bcc370d85152a662
pretraining-006.tar,pretraining,6,30684,4361840640,01fec6e86294854fcb4e09b366c302c6fba09c6bf6fe1e6cb734ed2d662da11c
pretraining-007.tar,pretraining,7,30410,4361277440,3a32f91c652187a5e097708d03bc1612d675fb619e8452e51d29b95e2efac0d5
pretraining-008.tar,pretraining,8,32659,4366120960,6ec7e7cba0d98643c52bff5322b838bc91a253949f020c552ad8de901c863f65
pretraining-009.tar,pretraining,9,13140,1826713600,b5bacd69283527993740ee88b477dd8586b79db53ccad331d2e855e3fe4e888d
