species_id,full_species,species,genus,family,epithet,author,unmatched_terms,iucn_status
0,Lactuca virosa L.,Lactuca virosa,Lactuca,Asteraceae,virosa,L.,,DD
1,Pelargonium capitatum (L.) L'Hér.,Pelargonium capitatum,Pelargonium,Geraniaceae,capitatum,(L.) L'Hér.,,Not assessed
2,Pelargonium graveolens L'Hér.,Pelargonium graveolens,Pelargonium,Geraniaceae,graveolens,L'Hér.,,Not assessed
3,Cirsium arvense (L.) Scop.,Cirsium arvense,Cirsium,Asteraceae,arvense,(L.) Scop.,,Not assessed
4,Cirsium vulgare (Savi) Ten.,Cirsium vulgare,Cirsium,Asteraceae,vulgare,(Savi) Ten.,,Not assessed
5,Pelargonium odoratissimum (L.) L'Hér.,Pelargonium odoratissimum,Pelargonium,Geraniaceae,odoratissimum,(L.) L'Hér.,,Not assessed
6,Pelargonium peltatum (L.) L'Hér.,Pelargonium peltatum,Pelargonium,Geraniaceae,peltatum,(L.) L'Hér.,,Not assessed
7,Pelargonium quercifolium (L.f.) L'Hér.,Pelargonium quercifolium,Pelargonium,Geraniaceae,quercifolium,(L.f.) L'Hér.,,Not assessed
8,Pelargonium zonale (L.) L'Hér.,Pelargonium zonale,Pelargonium,Geraniaceae,zonale,(L.) L'Hér.,,Not assessed
9,Mercurialis annua L.,Mercurialis annua,Mercurialis,Euphorbiaceae,annua,L.,,Not assessed
10,Phyllanthus tenellus Roxb.,Phyllanthus tenellus,Phyllanthus,Phyllanthaceae,tenellus,Roxb.,,Not assessed
11,Hypericum perforatum L.,Hypericum perforatum,Hypericum,Hypericaceae,perforatum,L.,,LC
12,Elodea densa (Planch.) Casp.,Elodea densa,Elodea,Hydrocharitaceae,densa,(Planch.) Casp.,,Not assessed
13,Ibicella lutea (Lindl.) Van Eselt.,Ibicella lutea,Ibicella,Martyniaceae,lutea,(Lindl.) Van Eselt.,,Not assessed
14,Tradescantia fluminensis Vell.,Tradescantia fluminensis,Tradescantia,Commelinaceae,fluminensis,Vell.,,Not assessed
15,Tradescantia zebrina Bosse,Tradescantia zebrina,Tradescantia,Commelinaceae,zebrina,Bosse,,Not assessed
16,Lamium amplexicaule L.,Lamium amplexicaule,Lamium,Lamiaceae,amplexicaule,L.,,Not assessed
17,Lavandula dentata L.,Lavandula dentata,Lavandula,Lamiaceae,dentata,L.,,Not assessed
18,Striga asiatica (L.) Kuntze,Striga asiatica,Striga,Orobanchaceae,asiatica,(L.) Kuntze,,Not assessed
19,Melilotus albus Medik.,Melilotus albus,Melilotus,Fabaceae,albus,Medik.,,LC
