image_id,path,scientific_name,taxon_id
gbif-inat:00000750,images/raw/gbif-inat/acer_rubrum/6130214472_2.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003117,images/raw/gbif-inat/acer_rubrum/6130726654_2.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003124,images/raw/gbif-inat/acer_rubrum/6130749950_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003113,images/raw/gbif-inat/acer_rubrum/6130710891_2.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003066,images/raw/gbif-inat/acer_rubrum/6130264007_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003095,images/raw/gbif-inat/acer_rubrum/6130631037_2.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003115,images/raw/gbif-inat/acer_rubrum/6130721127_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003096,images/raw/gbif-inat/acer_rubrum/6130631037_3.jpg,Acer rubrum,usda:ACRU
gbif-inat:00000748,images/raw/gbif-inat/acer_rubrum/6130159770_2.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003082,images/raw/gbif-inat/acer_rubrum/6130450206_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00002992,images/raw/gbif-inat/acer_saccharum/6130958610_5.jpg,Acer saccharum,usda:ACSA3
gbif-inat:00003021,images/raw/gbif-inat/acer_saccharum/6133551645_1.jpg,Acer saccharum,usda:ACSA3
gbif-inat:00002993,images/raw/gbif-inat/acer_saccharum/6131079560_1.jpg,Acer saccharum,usda:ACSA3
gbif-inat:00003056,images/raw/gbif-inat/acer_saccharum/6159391395_5.jpg,Acer saccharum,usda:ACSA3
gbif-inat:00003043,images/raw/gbif-inat/acer_saccharum/6159202909_1.jpg,Acer saccharum,usda:ACSA3
gbif-inat:00003029,images/raw/gbif-inat/acer_saccharum/6162792673_1.jpg,Acer saccharum,usda:ACSA3
gbif-inat:00002999,images/raw/gbif-inat/acer_saccharum/6131356538_3.jpg,Acer saccharum,usda:ACSA3
gbif-inat:00003059,images/raw/gbif-inat/acer_saccharum/6159465827_1.jpg,Acer saccharum,usda:ACSA3
gbif-inat:00003014,images/raw/gbif-inat/acer_saccharum/6133215985_3.jpg,Acer saccharum,usda:ACSA3
gbif-inat:00003051,images/raw/gbif-inat/acer_saccharum/6159347339_1.jpg,Acer saccharum,usda:ACSA3
gbif-inat:00004472,images/raw/gbif-inat/achillea_millefolium/6130147086_1.jpg,Achillea millefolium,usda:ACMI2
gbif-inat:00004512,images/raw/gbif-inat/achillea_millefolium/6130568725_1.jpg,Achillea millefolium,usda:ACMI2
gbif-inat:00004517,images/raw/gbif-inat/achillea_millefolium/6130620409_1.jpg,Achillea millefolium,usda:ACMI2
gbif-inat:00001334,images/raw/gbif-inat/achillea_millefolium/5938632129_1.jpg,Achillea millefolium,usda:ACMI2
gbif-inat:00001349,images/raw/gbif-inat/achillea_millefolium/6129991956_1.jpg,Achillea millefolium,usda:ACMI2
gbif-inat:00004496,images/raw/gbif-inat/achillea_millefolium/6130292279_1.jpg,Achillea millefolium,usda:ACMI2
gbif-inat:00004494,images/raw/gbif-inat/achillea_millefolium/6130272873_1.jpg,Achillea millefolium,usda:ACMI2
gbif-inat:00001333,images/raw/gbif-inat/achillea_millefolium/5938581621_1.jpg,Achillea millefolium,usda:ACMI2
gbif-inat:00004505,images/raw/gbif-inat/achillea_millefolium/6130488882_1.jpg,Achillea millefolium,usda:ACMI2
gbif-inat:00001340,images/raw/gbif-inat/achillea_millefolium/6129890583_2.jpg,Achillea millefolium,usda:ACMI2
gbif-inat:00001222,images/raw/gbif-inat/actaea_pachypoda/6185908881_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00315956,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/6251863733_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00316265,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/5140609922_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00316113,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/6321049826_5.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00316093,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/6320837875_2.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00316074,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/6320585380_2.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00315980,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/6253196673_2.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00316253,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/5140471923_3.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00315882,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/6235018440_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat:00001220,images/raw/gbif-inat/actaea_pachypoda/6185864569_2.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00316174,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/5134228712_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00316044,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/6274244852_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00316229,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/5140215021_2.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00316095,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/6320846390_2.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00316072,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/6320501460_4.jpg,Actaea pachypoda,usda:ACPA
gbif-inat:00004224,images/raw/gbif-inat/actaea_pachypoda/6234573641_2.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00315906,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/6235760476_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00315975,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/6252824404_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00316167,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/5134019809_2.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00315946,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/6251466298_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00316069,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/6320501460_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00316159,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/5133791352_3.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00316037,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/6274039793_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat:00004231,images/raw/gbif-inat/actaea_pachypoda/6234762811_2.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00315977,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/6252934206_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00316144,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/5133574545_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00316223,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/5140169931_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat:00004192,images/raw/gbif-inat/actaea_pachypoda/6195436418_3.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00316261,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/5140527336_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat:00004219,images/raw/gbif-inat/actaea_pachypoda/6234475006_2.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00316161,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/5133866984_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00315918,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/6235923602_3.jpg,Actaea pachypoda,usda:ACPA
gbif-inat:00004248,images/raw/gbif-inat/actaea_pachypoda/6234942910_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00315958,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/6251902683_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat:00004194,images/raw/gbif-inat/actaea_pachypoda/6195602261_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00315987,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/6273220657_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00315961,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/6251915161_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00316130,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/5133189056_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00315927,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/6236305527_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat:00004195,images/raw/gbif-inat/actaea_pachypoda/6195602261_2.jpg,Actaea pachypoda,usda:ACPA
gbif-inat:00001223,images/raw/gbif-inat/actaea_pachypoda/6186029317_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00315962,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/6252353313_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00316250,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/5140462276_4.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00316055,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/6320128974_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00316012,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/6252354652_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00316016,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/6273195502_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00316185,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/5134503223_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat:00001213,images/raw/gbif-inat/actaea_pachypoda/6184913082_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00316245,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/5140394055_1.jpg,Actaea pachypoda,usda:ACPA
gbif-inat-toxic-round2:00316091,images/raw/gbif-inat-toxic-round2/actaea_pachypoda/6320811499_4.jpg,Actaea pachypoda,usda:ACPA
gbif-inat:00001256,images/raw/gbif-inat/actaea_rubra/6235071453_1.jpg,Actaea rubra,usda:ACRU2
gbif-inat:00004261,images/raw/gbif-inat/actaea_rubra/6235316713_2.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316659,images/raw/gbif-inat-toxic-round2/actaea_rubra/5167522236_2.jpg,Actaea rubra,usda:ACRU2
gbif-inat:00001235,images/raw/gbif-inat/actaea_rubra/6185269334_1.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316602,images/raw/gbif-inat-toxic-round2/actaea_rubra/5166803210_1.jpg,Actaea rubra,usda:ACRU2
gbif-inat:00004297,images/raw/gbif-inat/actaea_rubra/6253133342_3.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316286,images/raw/gbif-inat-toxic-round2/actaea_rubra/6273525865_2.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316499,images/raw/gbif-inat-toxic-round2/actaea_rubra/5167303175_1.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316395,images/raw/gbif-inat-toxic-round2/actaea_rubra/6321036026_2.jpg,Actaea rubra,usda:ACRU2
gbif-inat:00004320,images/raw/gbif-inat/actaea_rubra/6273236017_1.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316319,images/raw/gbif-inat-toxic-round2/actaea_rubra/6320082101_1.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316637,images/raw/gbif-inat-toxic-round2/actaea_rubra/5167366098_2.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316655,images/raw/gbif-inat-toxic-round2/actaea_rubra/5167511608_1.jpg,Actaea rubra,usda:ACRU2
gbif-inat:00004290,images/raw/gbif-inat/actaea_rubra/6252508429_2.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316468,images/raw/gbif-inat-toxic-round2/actaea_rubra/5141104199_2.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316611,images/raw/gbif-inat-toxic-round2/actaea_rubra/5166908774_1.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316374,images/raw/gbif-inat-toxic-round2/actaea_rubra/6320664633_2.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316660,images/raw/gbif-inat-toxic-round2/actaea_rubra/5167530394_1.jpg,Actaea rubra,usda:ACRU2
gbif-inat:00001242,images/raw/gbif-inat/actaea_rubra/6188486502_1.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316358,images/raw/gbif-inat-toxic-round2/actaea_rubra/6320385826_6.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316558,images/raw/gbif-inat-toxic-round2/actaea_rubra/5153782130_2.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316285,images/raw/gbif-inat-toxic-round2/actaea_rubra/6273525865_1.jpg,Actaea rubra,usda:ACRU2
gbif-inat:00001243,images/raw/gbif-inat/actaea_rubra/6188486502_2.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316567,images/raw/gbif-inat-toxic-round2/actaea_rubra/5154144974_2.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316516,images/raw/gbif-inat-toxic-round2/actaea_rubra/6130316769_2.jpg,Actaea rubra,usda:ACRU2
gbif-inat:00004293,images/raw/gbif-inat/actaea_rubra/6252791665_1.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316584,images/raw/gbif-inat-toxic-round2/actaea_rubra/5154576357_1.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316497,images/raw/gbif-inat-toxic-round2/actaea_rubra/5154751798_1.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316615,images/raw/gbif-inat-toxic-round2/actaea_rubra/5166995447_1.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316393,images/raw/gbif-inat-toxic-round2/actaea_rubra/6321027448_1.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316534,images/raw/gbif-inat-toxic-round2/actaea_rubra/5153044973_1.jpg,Actaea rubra,usda:ACRU2
gbif-inat:00004316,images/raw/gbif-inat/actaea_rubra/6253219576_4.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316606,images/raw/gbif-inat-toxic-round2/actaea_rubra/5166868874_1.jpg,Actaea rubra,usda:ACRU2
gbif-inat:00004268,images/raw/gbif-inat/actaea_rubra/6236069578_1.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316316,images/raw/gbif-inat-toxic-round2/actaea_rubra/6274318957_2.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316491,images/raw/gbif-inat-toxic-round2/actaea_rubra/5154221356_1.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316406,images/raw/gbif-inat-toxic-round2/actaea_rubra/6321238029_1.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316573,images/raw/gbif-inat-toxic-round2/actaea_rubra/5154205669_1.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316411,images/raw/gbif-inat-toxic-round2/actaea_rubra/5087123252_2.jpg,Actaea rubra,usda:ACRU2
gbif-inat:00004277,images/raw/gbif-inat/actaea_rubra/6236493992_5.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316537,images/raw/gbif-inat-toxic-round2/actaea_rubra/5153441982_1.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316543,images/raw/gbif-inat-toxic-round2/actaea_rubra/5153647497_4.jpg,Actaea rubra,usda:ACRU2
gbif-inat:00004267,images/raw/gbif-inat/actaea_rubra/6235844672_2.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316281,images/raw/gbif-inat-toxic-round2/actaea_rubra/6273498026_1.jpg,Actaea rubra,usda:ACRU2
gbif-inat-toxic-round2:00316547,images/raw/gbif-inat-toxic-round2/actaea_rubra/5153647497_8.jpg,Actaea rubra,usda:ACRU2
gbif-inat:00004264,images/raw/gbif-inat/actaea_rubra/6235614976_2.jpg,Actaea rubra,usda:ACRU2
