image_id,path,scientific_name,taxon_id,reason,cap_per_class
plantnet300k-v2:00154502,images/raw/plantnet300k-v2/daucus_carota/ce654a59493425fb139db8661ddbfa090f041898.jpg,Daucus carota,usda:DACA6,over_cap_output_balance,500
plantnet300k-v2:00019393,images/raw/plantnet300k-v2/daucus_carota/95a66a03ab7fbff4410bd4bf8b3b0ee9da45784b.jpg,Daucus carota,usda:DACA6,over_cap_output_balance,500
gbif-inat:00001394,images/raw/gbif-inat/daucus_carota/6130891746_1.jpg,Daucus carota,usda:DACA6,over_cap_output_balance,500
plantnet300k-v2:00019068,images/raw/plantnet300k-v2/daucus_carota/3cd402abd6cd2cc43f52141bca460a1786b87bff.jpg,Daucus carota,usda:DACA6,over_cap_output_balance,500
plantnet300k-v2:00019349,images/raw/plantnet300k-v2/daucus_carota/862addf195120c95b14c5cb468cb3c0705547027.jpg,Daucus carota,usda:DACA6,over_cap_output_balance,500
plantnet300k-v2:00150638,images/raw/plantnet300k-v2/daucus_carota/44ee50f975d4329bee4a4a9e923cc81643a91100.jpg,Daucus carota,usda:DACA6,over_cap_output_balance,500
plantnet300k-v2:00155230,images/raw/plantnet300k-v2/daucus_carota/e6caf5922bf7fa1a5b315a284884fd9136c548fb.jpg,Daucus carota,usda:DACA6,over_cap_output_balance,500
plantnet300k-v2:00153369,images/raw/plantnet300k-v2/daucus_carota/a6244a20093c2c1c8f4cf77d92c37e29fb83f2cb.jpg,Daucus carota,usda:DACA6,over_cap_output_balance,500
plantnet300k-v2:00018978,images/raw/plantnet300k-v2/daucus_carota/2522230078461a416b45340228fe9528e9559d06.jpg,Daucus carota,usda:DACA6,over_cap_output_balance,500
plantnet300k-v2:00150991,images/raw/plantnet300k-v2/daucus_carota/51d5b5a4d87b2759e1deb0cefda16ae985ccf340.jpg,Daucus carota,usda:DACA6,over_cap_output_balance,500
plantnet300k-v2:00153955,images/raw/plantnet300k-v2/daucus_carota/bb7fe2015c1fb825cbc573032ef6702aeebe2271.jpg,Daucus carota,usda:DACA6,over_cap_output_balance,500
plantnet300k-v2:00155335,images/raw/plantnet300k-v2/daucus_carota/ea6bdd9bf4afdf1aaac9e46cd373ce1ca39196d5.jpg,Daucus carota,usda:DACA6,over_cap_output_balance,500
plantnet300k-v2:00151446,images/raw/plantnet300k-v2/daucus_carota/62f48855268a9947eacb8f5a3f3995b1e41b392e.jpg,Daucus carota,usda:DACA6,over_cap_output_balance,500
plantnet300k-v2:00294391,images/raw/plantnet300k-v2/daucus_carota/9c0cc227fe5f1f3d9c3cd9afc4705e547be20e58.jpg,Daucus carota,usda:DACA6,over_cap_output_balance,500
plantnet300k-v2:00148993,images/raw/plantnet300k-v2/daucus_carota/09bb57494cb7d2aedbdb9099adcd41865914fd3d.jpg,Daucus carota,usda:DACA6,over_cap_output_balance,500
plantnet300k-v2:00153349,images/raw/plantnet300k-v2/daucus_carota/a567f8d326053f4295bc50c3b612b0ac2c82a301.jpg,Daucus carota,usda:DACA6,over_cap_output_balance,500
plantnet300k-v2:00018920,images/raw/plantnet300k-v2/daucus_carota/11dddf92c981aa019b48024df9ca33358eb85af3.jpg,Daucus carota,usda:DACA6,over_cap_output_balance,500
plantnet300k-v2:00154311,images/raw/plantnet300k-v2/daucus_carota/c7e40f6d4382b22d6ef0a4a07ef70d42c51e47d5.jpg,Daucus carota,usda:DACA6,over_cap_output_balance,500
plantnet300k-v2:00151154,images/raw/plantnet300k-v2/daucus_carota/582f036c00691f7e734c25cd8647889815faf48d.jpg,Daucus carota,usda:DACA6,over_cap_output_balance,500
plantnet300k-v2:00294341,images/raw/plantnet300k-v2/daucus_carota/8cba7bd6b0e252e41ce18907f2a780a6f8a2de8e.jpg,Daucus carota,usda:DACA6,over_cap_output_balance,500
plantnet300k-v2:00019081,images/raw/plantnet300k-v2/daucus_carota/40b9d466b9ed2543c4e1eba050fb8647f997c60e.jpg,Daucus carota,usda:DACA6,over_cap_output_balance,500
