image_id,path,scientific_name,taxon_id
gbif-inat:00000729,images/raw/gbif-inat/acer_rubrum/5938370672_2.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003083,images/raw/gbif-inat/acer_rubrum/6130480344_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003118,images/raw/gbif-inat/acer_rubrum/6130726654_3.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003107,images/raw/gbif-inat/acer_rubrum/6130696702_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00000741,images/raw/gbif-inat/acer_rubrum/6130010071_2.jpg,Acer rubrum,usda:ACRU
gbif-inat:00000747,images/raw/gbif-inat/acer_rubrum/6130159770_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003093,images/raw/gbif-inat/acer_rubrum/6130627432_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003120,images/raw/gbif-inat/acer_rubrum/6130740529_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003076,images/raw/gbif-inat/acer_rubrum/6130372323_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00000743,images/raw/gbif-inat/acer_rubrum/6130029085_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003089,images/raw/gbif-inat/acer_rubrum/6130591676_4.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003086,images/raw/gbif-inat/acer_rubrum/6130591676_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00000735,images/raw/gbif-inat/acer_rubrum/6129814203_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003068,images/raw/gbif-inat/acer_rubrum/6130267557_2.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003073,images/raw/gbif-inat/acer_rubrum/6130330636_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003088,images/raw/gbif-inat/acer_rubrum/6130591676_3.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003126,images/raw/gbif-inat/acer_rubrum/6130802763_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003072,images/raw/gbif-inat/acer_rubrum/6130320830_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00000746,images/raw/gbif-inat/acer_rubrum/6130120135_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003128,images/raw/gbif-inat/acer_rubrum/6130818012_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003100,images/raw/gbif-inat/acer_rubrum/6130638803_2.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003098,images/raw/gbif-inat/acer_rubrum/6130635456_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003070,images/raw/gbif-inat/acer_rubrum/6130267557_4.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003129,images/raw/gbif-inat/acer_rubrum/6130818012_2.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003101,images/raw/gbif-inat/acer_rubrum/6130638803_3.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003081,images/raw/gbif-inat/acer_rubrum/6130445293_2.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003090,images/raw/gbif-inat/acer_rubrum/6130607190_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00000724,images/raw/gbif-inat/acer_rubrum/5938359968_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00000737,images/raw/gbif-inat/acer_rubrum/6129836118_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003102,images/raw/gbif-inat/acer_rubrum/6130638803_4.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003104,images/raw/gbif-inat/acer_rubrum/6130672429_2.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003085,images/raw/gbif-inat/acer_rubrum/6130578718_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003127,images/raw/gbif-inat/acer_rubrum/6130802763_2.jpg,Acer rubrum,usda:ACRU
gbif-inat:00000733,images/raw/gbif-inat/acer_rubrum/5938590227_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003112,images/raw/gbif-inat/acer_rubrum/6130710891_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00000728,images/raw/gbif-inat/acer_rubrum/5938370672_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003116,images/raw/gbif-inat/acer_rubrum/6130726654_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00000749,images/raw/gbif-inat/acer_rubrum/6130214472_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003079,images/raw/gbif-inat/acer_rubrum/6130424504_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003122,images/raw/gbif-inat/acer_rubrum/6130740529_3.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003110,images/raw/gbif-inat/acer_rubrum/6130696702_4.jpg,Acer rubrum,usda:ACRU
gbif-inat:00000726,images/raw/gbif-inat/acer_rubrum/5938359968_3.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003063,images/raw/gbif-inat/acer_rubrum/6130227392_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00000740,images/raw/gbif-inat/acer_rubrum/6130010071_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003067,images/raw/gbif-inat/acer_rubrum/6130267557_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003091,images/raw/gbif-inat/acer_rubrum/6130607190_2.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003108,images/raw/gbif-inat/acer_rubrum/6130696702_2.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003097,images/raw/gbif-inat/acer_rubrum/6130631037_4.jpg,Acer rubrum,usda:ACRU
gbif-inat:00000742,images/raw/gbif-inat/acer_rubrum/6130010071_3.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003103,images/raw/gbif-inat/acer_rubrum/6130672429_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00000723,images/raw/gbif-inat/acer_rubrum/5938354643_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003064,images/raw/gbif-inat/acer_rubrum/6130227924_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00000731,images/raw/gbif-inat/acer_rubrum/5938489572_2.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003106,images/raw/gbif-inat/acer_rubrum/6130672429_4.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003084,images/raw/gbif-inat/acer_rubrum/6130482112_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003130,images/raw/gbif-inat/acer_rubrum/6130849088_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003062,images/raw/gbif-inat/acer_rubrum/6130222861_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003105,images/raw/gbif-inat/acer_rubrum/6130672429_3.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003069,images/raw/gbif-inat/acer_rubrum/6130267557_3.jpg,Acer rubrum,usda:ACRU
gbif-inat:00000734,images/raw/gbif-inat/acer_rubrum/5938630077_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00000736,images/raw/gbif-inat/acer_rubrum/6129830500_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003077,images/raw/gbif-inat/acer_rubrum/6130413578_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00000721,images/raw/gbif-inat/acer_rubrum/5938098737_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00000725,images/raw/gbif-inat/acer_rubrum/5938359968_2.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003074,images/raw/gbif-inat/acer_rubrum/6130341938_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00000730,images/raw/gbif-inat/acer_rubrum/5938489572_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00000744,images/raw/gbif-inat/acer_rubrum/6130066901_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003087,images/raw/gbif-inat/acer_rubrum/6130591676_2.jpg,Acer rubrum,usda:ACRU
gbif-inat:00000738,images/raw/gbif-inat/acer_rubrum/6129939818_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003065,images/raw/gbif-inat/acer_rubrum/6130250083_1.jpg,Acer rubrum,usda:ACRU
gbif-inat:00003036,images/raw/gbif-inat/acer_saccharum/6147415937_1.jpg,Acer saccharum,usda:ACSA3
gbif-inat:00003018,images/raw/gbif-inat/acer_saccharum/6133537647_1.jpg,Acer saccharum,usda:ACSA3
gbif-inat:00003016,images/raw/gbif-inat/acer_saccharum/6133434179_1.jpg,Acer saccharum,usda:ACSA3
gbif-inat:00000697,images/raw/gbif-inat/acer_saccharum/6130009345_1.jpg,Acer saccharum,usda:ACSA3
gbif-inat:00002995,images/raw/gbif-inat/acer_saccharum/6131299617_2.jpg,Acer saccharum,usda:ACSA3
